time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/clip_range,train/loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/n_updates,train/entropy_loss,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean
1024,180.0,14.280517578125,,,,,,,,,,,,,,,
2048,180.0,13.845712661743164,,,,,,,,,,,,,,,
3072,180.0,14.162332534790039,0.2,19.013032913208008,0.391845703125,0.0003,0.02422962,-0.0003752708435058594,40.01663198173046,-0.04307926999172196,10,-5.868012152612209,,,,,
4096,180.0,14.800941467285156,,,,,,,,,,,,,,,
5120,180.0,12.990543365478516,0.2,19.452184677124023,0.359375,0.0003,0.023827348,0.0,39.09186711013317,-0.044057957969198466,20,-5.847215178608894,,,,,
6144,180.0,14.241206169128418,,,,,,,,,,,,,,,
7168,180.0,13.413708686828613,0.2,22.847274780273438,0.34921875,0.0003,0.024362732,0.0,40.75826542973518,-0.042567836710077245,30,-5.826797820627689,,,,,
8192,180.0,14.761723518371582,,,,,,,,,,,,,,,
9216,180.0,14.080429077148438,0.2,22.85279083251953,0.37861328125,0.0003,0.0253485,0.0,34.006117063760755,-0.04878551800793503,40,-5.800924491882324,,,,,
10240,180.0,12.708918571472168,,,,,,,,,,,,,,,
11264,180.0,13.989763259887695,0.2,20.639070510864258,0.298681640625,0.0003,0.022103854,0.0,39.98263643682003,-0.03854920940648299,50,-5.781556843221187,,,,,
12288,180.0,13.416015625,,,,,,,,,,,,,,,
13312,180.0,13.94424057006836,0.2,18.068044662475586,0.31953125,0.0003,0.022327261,0.0,41.07536786198616,-0.04902333772624843,60,-5.7580997630953785,,,,,
14336,180.0,15.219938278198242,,,,,,,,,,,,,,,
15360,180.0,13.925551414489746,0.2,18.562610626220703,0.378369140625,0.0003,0.024879985,0.0,34.93220329284668,-0.04432422147510806,70,-5.707316666841507,,,,,
16384,180.0,15.796772003173828,,,,,,,,,,,,,,,
17408,180.0,14.170703887939453,0.2,12.856955528259277,0.341748046875,0.0003,0.024466416,0.0,40.936105725169185,-0.045827579243632496,80,-5.681326554715634,,,,,
18432,180.0,14.454072952270508,,,,,,,,,,,,,,,
19456,180.0,13.889573097229004,0.2,19.45146369934082,0.33212890625,0.0003,0.022742242,0.0,49.73499401807785,-0.04376373465056531,90,-5.640389250218869,,,,,
20480,180.0,14.622132301330566,,,,,,,,,,,,,,,
20480,,,,,,,,,,,,,64,10,319,14.281255020000001,180.0
21504,180.0,15.273200988769531,0.2,15.606576919555664,0.37275390625,0.0003,0.025681797,0.0,37.03213348090649,-0.044459367464878594,100,-5.612274035811424,,,,,
22528,180.0,17.088211059570312,,,,,,,,,,,,,,,
23552,180.0,15.191507339477539,0.2,18.731679916381836,0.362158203125,0.0003,0.024057137,0.0,37.95825356245041,-0.04323378733824938,110,-5.576902580261231,,,,,
24576,180.0,15.003213882446289,,,,,,,,,,,,,,,
25600,180.0,16.936546325683594,0.2,21.991085052490234,0.35341796875,0.0003,0.025295962,0.0,43.010580968856814,-0.04433629306149669,120,-5.522856691479683,,,,,
26624,180.0,16.30340576171875,,,,,,,,,,,,,,,
27648,180.0,14.42266845703125,0.2,32.203678131103516,0.33232421875,0.0003,0.023117581,0.0,39.189129954576494,-0.043440049508353694,130,-5.478645950555801,,,,,
28672,180.0,16.203716278076172,,,,,,,,,,,,,,,
29696,180.0,18.036109924316406,0.2,14.31861686706543,0.308349609375,0.0003,0.021470476,0.0,37.504481855034825,-0.04301767018914689,140,-5.453494970500469,,,,,
30720,180.0,17.154335021972656,,,,,,,,,,,,,,,
31744,180.0,17.793855667114258,0.2,15.196764945983887,0.355908203125,0.0003,0.0242969,0.0,37.079888895154,-0.0438815752742812,150,-5.418729892373085,,,,,
32768,180.0,16.028377532958984,,,,,,,,,,,,,,,
33792,180.0,16.767887115478516,0.2,17.868623733520508,0.34677734375,0.0003,0.024208846,0.0,37.824087026715276,-0.04823989112337586,160,-5.357833608984947,,,,,
34816,180.0,16.889225006103516,,,,,,,,,,,,,,,
35840,180.0,16.533479690551758,0.2,27.016666412353516,0.333056640625,0.0003,0.023787783,0.0,49.193731021881106,-0.043283062521368265,170,-5.319621439278126,,,,,
36864,180.0,17.159847259521484,,,,,,,,,,,,,,,
37888,180.0,17.46186065673828,0.2,15.434595108032227,0.345654296875,0.0003,0.025457926,0.0,36.9331924289465,-0.0461775689109345,180,-5.277577838301658,,,,,
38912,180.0,18.365737915039062,,,,,,,,,,,,,,,
39936,180.0,16.860713958740234,0.2,21.368337631225586,0.3615234375,0.0003,0.025676373,0.0,40.935464069247246,-0.04471181372646242,190,-5.224458122253418,,,,,
40960,180.0,17.643341064453125,,,,,,,,,,,,,,,
40960,,,,,,,,,,,,,129,20,316,16.414677870000002,180.0
41984,180.0,16.224157333374023,0.2,22.875036239624023,0.391455078125,0.0003,0.02696342,1.1920928955078125e-07,40.7991951495409,-0.04283650922297966,200,-5.171896690130234,,,,,
43008,180.0,17.081758499145508,,,,,,,,,,,,,,,
44032,180.0,19.397117614746094,0.2,28.5556640625,0.36708984375,0.0003,0.025768287,0.0,44.32066598534584,-0.04111555173876695,210,-5.1870341360569,,,,,
45056,180.0,18.298030853271484,,,,,,,,,,,,,,,
46080,180.0,17.113025665283203,0.2,23.60405158996582,0.38330078125,0.0003,0.028007712,0.0,51.94253979921341,-0.04322269898693776,220,-5.142536063492298,,,,,
47104,180.0,17.777629852294922,,,,,,,,,,,,,,,
48128,180.0,19.27364730834961,0.2,18.93729019165039,0.378076171875,0.0003,0.027578613,0.0,37.89494644701481,-0.04399989437079057,230,-5.112099066376686,,,,,
49152,180.0,18.320850372314453,,,,,,,,,,,,,,,
50176,180.0,17.834251403808594,0.2,19.851295471191406,0.39814453125,0.0003,0.029138712,0.0,41.82006838321686,-0.04993401059473399,240,-5.036738860607147,,,,,
51200,180.0,20.881214141845703,,,,,,,,,,,,,,,
52224,180.0,21.81271743774414,0.2,29.695316314697266,0.4365234375,0.0003,0.035756044,0.0,37.27536397576332,-0.042863655788823965,250,-4.926710245013237,,,,,
53248,180.0,18.088314056396484,,,,,,,,,,,,,,,
54272,180.0,20.582767486572266,0.2,29.224767684936523,0.4556640625,0.0003,0.03814467,0.0,35.99466469883919,-0.04533514395880047,260,-4.779080665111541,,,,,
55296,180.0,22.66207504272461,,,,,,,,,,,,,,,
56320,180.0,22.93918800354004,0.2,32.99626922607422,0.39736328125,0.0003,0.041362114,0.0,40.22966684401035,-0.04655743598123081,270,-4.685842008888722,,,,,
57344,180.0,21.908981323242188,,,,,,,,,,,,,,,
58368,180.0,25.633888244628906,0.2,25.059911727905273,0.49013671875,0.0003,0.050161984,-1.1920928955078125e-07,34.414155051112175,-0.049935435006045734,280,-4.446600921452045,,,,,
