time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/learning_rate,train/loss,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/n_updates,train/value_loss,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean
54272,120.0,20.62377166748047,0.0003,38.58798599243164,-5.496231708675623,0.3,-0.04274285299834446,0.039900146,0.235888671875,0.0,260,63.67915876507759,,,,,
55296,120.0,24.48944854736328,,,,,,,,,,,,,,,
56320,120.0,22.306690216064453,0.0003,31.70370864868164,-5.494355768710375,0.3,-0.039948888560320486,0.04300985,0.272119140625,-1.1920928955078125e-07,270,61.00749299824238,,,,,
57344,120.0,23.531126022338867,,,,,,,,,,,,,,,
58368,120.0,20.907434463500977,0.0003,115.26058197021484,-5.503386833518744,0.3,-0.0462016555138689,0.04647009,0.269091796875,0.0,280,59.100130492448805,,,,,
59392,120.0,20.817096710205078,,,,,,,,,,,,,,,
60416,120.0,21.733379364013672,0.0003,34.789249420166016,-5.526747496426106,0.3,-0.04705111177318031,0.046522535,0.28564453125,0.0,290,59.18418597131968,,,,,
61440,120.0,22.306438446044922,,,,,,,,,,,,,,,
61440,,,,,,,,,,,,,120.0,175,30,350,22.110772730000004
62464,120.0,21.87381362915039,0.0003,46.880680084228516,-5.503817576915026,0.3,-0.0436671484465478,0.041648872,0.258544921875,0.0,300,60.63869045674801,,,,,
63488,120.0,25.244787216186523,,,,,,,,,,,,,,,
64512,120.0,22.46648597717285,0.0003,56.796539306640625,-5.476789896935225,0.3,-0.0430798661953304,0.044815592,0.25673828125,0.0,310,67.31077280044556,,,,,
65536,120.0,21.138704299926758,,,,,,,,,,,,,,,
66560,120.0,23.161190032958984,0.0003,71.23231506347656,-5.497748945653439,0.3,-0.05068279601182439,0.043259725,0.2759765625,0.0,320,64.403334595263,,,,,
67584,120.0,21.87873649597168,,,,,,,,,,,,,,,
68608,120.0,21.756900787353516,0.0003,78.64778900146484,-5.504186624288559,0.3,-0.04698652789593325,0.045728505,0.254931640625,0.0,330,69.82817529737949,,,,,
69632,120.0,21.196495056152344,,,,,,,,,,,,,,,
70656,120.0,23.646404266357422,0.0003,91.76734161376953,-5.540818236768246,0.3,-0.03840125978458673,0.04039701,0.22255859375,0.0,340,61.1810945853591,,,,,
71680,120.0,22.944576263427734,,,,,,,,,,,,,,,
72704,120.0,22.43402099609375,0.0003,93.46282958984375,-5.565973496437072,0.3,-0.04673065750030218,0.048232798,0.29833984375,0.0,350,60.13607369661331,,,,,
73728,120.0,21.26637077331543,,,,,,,,,,,,,,,
74752,120.0,22.071365356445312,0.0003,81.0094985961914,-5.503692098706961,0.3,-0.047961016061890405,0.044287946,0.263427734375,0.0,360,55.12446585893631,,,,,
75776,120.0,25.958662033081055,,,,,,,,,,,,,,,
76800,120.0,23.473243713378906,0.0003,79.85627746582031,-5.487642538547516,0.3,-0.04272587437171751,0.043865,0.2109375,1.1920928955078125e-07,370,59.23581618964672,,,,,
77824,120.0,24.745819091796875,,,,,,,,,,,,,,,
78848,120.0,23.16305160522461,0.0003,52.854461669921875,-5.517230249941349,0.3,-0.04534391237102682,0.04614801,0.260009765625,5.960464477539063e-08,380,56.76199928820133,,,,,
79872,120.0,19.606159210205078,,,,,,,,,,,,,,,
80896,120.0,21.186391830444336,0.0003,49.42987823486328,-5.511799599230289,0.3,-0.04313719490528456,0.043022137,0.243896484375,0.0,390,56.99073574841022,,,,,
81920,120.0,21.515811920166016,,,,,,,,,,,,,,,
81920,,,,,,,,,,,,,120.0,231,40,353,22.224416330000004
82944,120.0,24.985910415649414,0.0003,92.49919128417969,-5.479944996535778,0.3,-0.03820305384506355,0.042606305,0.2388671875,0.0,400,56.4012218028307,,,,,
83968,120.0,23.98019790649414,,,,,,,,,,,,,,,
84992,120.0,18.79509735107422,0.0003,63.76233673095703,-5.512351562082768,0.3,-0.03872377670923015,0.041573286,0.2732421875,0.0,410,65.6606903553009,,,,,
86016,120.0,22.839994430541992,,,,,,,,,,,,,,,
