eval/mean_reward,time/total_timesteps,eval/mean_ep_length,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_range,train/explained_variance,train/loss,train/n_updates,train/clip_fraction,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps
15.296871185302734,1024,180.0,,,,,,,,,,,,,,,
13.14307975769043,2048,180.0,,,,,,,,,,,,,,,
13.240550994873047,3072,180.0,0.024432592,-0.04112732595021953,42.27371592521668,0.0003,-5.866338995099068,0.2,-0.0008428096771240234,24.21420669555664,10,0.397216796875,,,,,
15.003789901733398,4096,180.0,,,,,,,,,,,,,,,
13.601152420043945,5120,180.0,0.026452895,-0.04261635191651294,43.64649224281311,0.0003,-5.838351795077324,0.2,0.0,24.04493522644043,20,0.422216796875,,,,,
13.533214569091797,6144,180.0,,,,,,,,,,,,,,,
13.788044929504395,7168,180.0,0.02607396,-0.04213122017245041,34.490410310029986,0.0003,-5.816022844612599,0.2,-1.1920928955078125e-07,14.156509399414062,30,0.390576171875,,,,,
15.383829116821289,8192,180.0,,,,,,,,,,,,,,,
13.25358772277832,9216,180.0,0.026544899,-0.03587322785169818,39.7393313318491,0.0003,-5.792542105913162,0.2,0.0,14.719311714172363,40,0.347265625,,,,,
14.179824829101562,10240,180.0,,,,,,,,,,,,,,,
15.9921875,11264,180.0,0.022362173,-0.03889004476950504,37.40935937464237,0.0003,-5.768691012263298,0.2,1.1920928955078125e-07,28.769189834594727,50,0.36728515625,,,,,
15.472373008728027,12288,180.0,,,,,,,,,,,,,,,
14.419805526733398,13312,180.0,0.021192145,-0.034940711104718504,41.209854388237,0.0003,-5.736684694886208,0.2,0.0,18.862545013427734,60,0.358740234375,,,,,
13.322160720825195,14336,180.0,,,,,,,,,,,,,,,
14.755184173583984,15360,180.0,0.022198342,-0.03635723879851867,40.99139111638069,0.0003,-5.716029265522957,0.2,0.0,23.649438858032227,70,0.336767578125,,,,,
13.392312049865723,16384,180.0,,,,,,,,,,,,,,,
13.312641143798828,17408,180.0,0.02448346,-0.035567828021885364,46.5413093149662,0.0003,-5.6829438507556915,0.2,0.0,18.99859619140625,80,0.368994140625,,,,,
15.78976821899414,18432,180.0,,,,,,,,,,,,,,,
15.141292572021484,19456,180.0,0.023986138,-0.03642352836322971,38.08159734904766,0.0003,-5.665505895018578,0.2,0.0,20.474014282226562,90,0.341455078125,,,,,
14.70741081237793,20480,180.0,,,,,,,,,,,,,,,
,20480,,,,,,,,,,,,65,10,180.0,14.387567100000002,313
