eval/mean_ep_length,eval/mean_reward,time/total_timesteps,train/learning_rate,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/entropy_loss,train/clip_fraction,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean
12.0,11.984132766723633,91136,0.0003,7.070427894592285,440,-1.1920928955078125e-07,0.2,-0.029713746006018484,15.447211685776711,0.08275482,-2.6899476677179335,0.3326171875,,,,,
12.0,16.650192260742188,92160,,,,,,,,,,,,,,,
12.0,21.963712692260742,93184,0.0003,6.58273458480835,450,0.0,0.2,-0.015445334228570574,15.819614788889885,0.06078801,-2.682051480561495,0.364306640625,,,,,
12.0,20.037879943847656,94208,,,,,,,,,,,,,,,
12.0,18.88678550720215,95232,0.0003,6.1701202392578125,460,0.0,0.2,-0.02647932531835977,15.599816998839378,0.06354445,-2.653541599959135,0.305126953125,,,,,
12.0,17.407339096069336,96256,,,,,,,,,,,,,,,
12.0,20.691314697265625,97280,0.0003,8.088367462158203,470,0.0,0.2,-0.03208499873871915,15.22006360888481,0.07306866,-2.620828706026077,0.3296875,,,,,
12.0,19.269668579101562,98304,,,,,,,,,,,,,,,
12.0,20.42662811279297,99328,0.0003,7.672652721405029,480,-1.1920928955078125e-07,0.2,-0.020620581394177863,14.755843107402324,0.07206138,-2.5923879615962506,0.33984375,,,,,
12.0,21.15896224975586,100352,,,,,,,,,,,,,,,
12.0,20.653812408447266,101376,0.0003,9.297574996948242,490,0.0,0.2,-0.01905965374171501,15.858189910650253,0.06527144,-2.564638875424862,0.34287109375,,,,,
12.0,21.499359130859375,102400,,,,,,,,,,,,,,,
,,102400,,,,,,,,,,,17.70432346,1090,93,50,12.0
12.0,22.078514099121094,103424,0.0003,7.184621810913086,500,5.960464477539063e-08,0.2,-0.024831527704373003,13.590711253881455,0.04970101,-2.5238948337733746,0.330419921875,,,,,
12.0,19.005535125732422,104448,,,,,,,,,,,,,,,
12.0,21.102144241333008,105472,0.0003,8.229879379272461,510,-1.1920928955078125e-07,0.2,-0.034327979426598175,14.643474063277244,0.057091776,-2.5023648045957088,0.2900390625,,,,,
12.0,21.777637481689453,106496,,,,,,,,,,,,,,,
12.0,19.80410385131836,107520,0.0003,6.320698261260986,520,-1.1920928955078125e-07,0.2,-0.01343633341457462,14.014678418636322,0.050910354,-2.4751728139817715,0.272900390625,,,,,
12.0,17.318435668945312,108544,,,,,,,,,,,,,,,
12.0,14.73363208770752,109568,0.0003,6.736610412597656,530,0.0,0.2,-0.026065847955760547,15.228190103173256,0.07220416,-2.4188927501440047,0.368994140625,,,,,
12.0,19.111377716064453,110592,,,,,,,,,,,,,,,
12.0,15.866886138916016,111616,0.0003,5.704139232635498,540,0.0,0.2,-0.01800454948679544,16.39814152121544,0.06793602,-2.405309637635946,0.3041015625,,,,,
12.0,21.28314971923828,112640,,,,,,,,,,,,,,,
12.0,17.77187728881836,113664,0.0003,4.949556350708008,550,0.0,0.2,-0.017011527558497618,11.380537846684456,0.087623574,-2.4187053471803663,0.402783203125,,,,,
12.0,23.01820182800293,114688,,,,,,,,,,,,,,,
12.0,21.328760147094727,115712,0.0003,5.858938694000244,560,0.0,0.2,-0.009013166918884962,13.974829399585724,0.079597324,-2.4337926328182222,0.385986328125,,,,,
12.0,20.176067352294922,116736,,,,,,,,,,,,,,,
12.0,20.622156143188477,117760,0.0003,7.844283103942871,570,0.0,0.2,-0.020700460312946235,15.403025025129319,0.08012317,-2.399683331698179,0.33017578125,,,,,
12.0,19.44149398803711,118784,,,,,,,,,,,,,,,
12.0,17.27077293395996,119808,0.0003,8.227822303771973,580,0.0,0.2,-0.02347720316320192,14.496807555854321,0.08653064,-2.3646095760166643,0.38076171875,,,,,
12.0,22.63677978515625,120832,,,,,,,,,,,,,,,
12.0,22.237812042236328,121856,0.0003,9.588194847106934,590,5.960464477539063e-08,0.2,-0.0043180120846955106,14.000695441663265,0.078187406,-2.3701333150267603,0.360546875,,,,,
12.0,14.556486129760742,122880,,,,,,,,,,,,,,,
,,122880,,,,,,,,,,,16.36030534,1088,112,60,12.0
12.0,10.715843200683594,123904,0.0003,6.663554668426514,600,0.0,0.2,-0.011966199474409222,13.135790707170964,0.08843842,-2.3622352413833143,0.33671875,,,,,
12.0,20.825782775878906,124928,,,,,,,,,,,,,,,
12.0,20.66360855102539,125952,0.0003,5.868049144744873,610,1.1920928955078125e-07,0.2,-0.006642048041976522,16.68916501402855,0.076965034,-2.3485712960362433,0.333984375,,,,,
12.0,13.296217918395996,126976,,,,,,,,,,,,,,,
12.0,17.48763656616211,128000,0.0003,8.77579116821289,620,0.0,0.2,-0.013737244413641747,16.259189903736115,0.06913559,-2.3614218547940253,0.342626953125,,,,,
12.0,22.208393096923828,129024,,,,,,,,,,,,,,,
12.0,21.099811553955078,130048,0.0003,7.851958274841309,630,0.0,0.2,-0.013600497978040948,13.708383275568485,0.06371867,-2.360525178164244,0.347021484375,,,,,
12.0,18.204015731811523,131072,,,,,,,,,,,,,,,
12.0,18.822765350341797,132096,0.0003,7.669436454772949,640,0.0,0.2,-0.02542797332862392,13.424454259872437,0.06336885,-2.3420349933207034,0.320654296875,,,,,
12.0,21.107501983642578,133120,,,,,,,,,,,,,,,
12.0,18.98227310180664,134144,0.0003,6.702108860015869,650,-1.1920928955078125e-07,0.2,-0.01301473153725965,12.675628705322742,0.07429599,-2.324931153655052,0.307373046875,,,,,
12.0,20.330265045166016,135168,,,,,,,,,,,,,,,
12.0,21.67489242553711,136192,0.0003,5.084596633911133,660,0.0,0.2,-0.01631449175038142,13.639314138889313,0.08820641,-2.315743216872215,0.339111328125,,,,,
12.0,19.56574249267578,137216,,,,,,,,,,,,,,,
12.0,20.68552017211914,138240,0.0003,5.947883605957031,670,-1.1920928955078125e-07,0.2,-0.014304774207994342,12.450490942597389,0.084921435,-2.301136738061905,0.354345703125,,,,,
12.0,22.57082748413086,139264,,,,,,,,,,,,,,,
12.0,18.43840980529785,140288,0.0003,7.815606117248535,680,5.960464477539063e-08,0.2,0.004320619242207613,11.932866616547107,0.07570073,-2.2993990398943422,0.32734375,,,,,
12.0,15.318564414978027,141312,,,,,,,,,,,,,,,
12.0,17.54619598388672,142336,0.0003,6.887922763824463,690,0.0,0.2,-0.004868274374166504,13.148160289227963,0.09595071,-2.2872964926064014,0.335986328125,,,,,
12.0,11.724218368530273,143360,,,,,,,,,,,,,,,
,,143360,,,,,,,,,,,17.12846522,1086,131,70,12.0
12.0,12.29406452178955,144384,0.0003,7.931450366973877,700,0.0,0.2,-0.008306684062699788,14.958642619848252,0.10802512,-2.2672104515135287,0.37275390625,,,,,
12.0,20.072683334350586,145408,,,,,,,,,,,,,,,
12.0,20.996248245239258,146432,0.0003,6.966468334197998,710,0.0,0.2,-0.0052611487873946315,12.587469118833543,0.11267863,-2.292614981532097,0.437646484375,,,,,
12.0,21.502151489257812,147456,,,,,,,,,,,,,,,
12.0,21.347305297851562,148480,0.0003,9.270694732666016,720,1.1920928955078125e-07,0.2,-0.017998312595591415,17.534255611896516,0.096561275,-2.2952258206903933,0.3529296875,,,,,
12.0,18.542491912841797,149504,,,,,,,,,,,,,,,
12.0,21.738967895507812,150528,0.0003,6.214487552642822,730,0.0,0.2,-0.02135653194563929,12.716610863804817,0.109469526,-2.296263000369072,0.329052734375,,,,,
12.0,19.39269256591797,151552,,,,,,,,,,,,,,,
12.0,13.760875701904297,152576,0.0003,9.088916778564453,740,1.1920928955078125e-07,0.2,-0.0033493782277218996,15.618043848872185,0.09073976,-2.2985651537775995,0.368408203125,,,,,
12.0,20.927528381347656,153600,,,,,,,,,,,,,,,
12.0,20.77336883544922,154624,0.0003,8.741573333740234,750,-1.1920928955078125e-07,0.2,-0.010337452529347502,14.707354119420051,0.10274192,-2.3035573713481425,0.343115234375,,,,,
12.0,14.122490882873535,155648,,,,,,,,,,,,,,,
12.0,21.61896514892578,156672,0.0003,8.67207145690918,760,-1.1920928955078125e-07,0.2,-0.009525213194137905,14.943288861215114,0.10799429,-2.294055434316397,0.381787109375,,,,,
12.0,13.341550827026367,157696,,,,,,,,,,,,,,,
12.0,11.718408584594727,158720,0.0003,9.332745552062988,770,0.0,0.2,-0.008624966781644617,15.241699087619782,0.0770452,-2.2950281724333763,0.30380859375,,,,,
