eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/loss,train/n_updates,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/clip_range,train/explained_variance,train/clip_fraction,train/approx_kl,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean
180.0,1024,14.245097160339355,,,,,,,,,,,,,,,
180.0,2048,13.306856155395508,,,,,,,,,,,,,,,
180.0,3072,14.895355224609375,26.10434341430664,10,37.57121085226536,-0.08933566739942762,-5.880384653061628,0.0003,0.2,-0.02084481716156006,0.28798828125,0.021743398,,,,,
180.0,4096,14.140655517578125,,,,,,,,,,,,,,,
180.0,5120,12.371916770935059,14.361626625061035,20,36.36946072876454,-0.09416629781699157,-5.87223409190774,0.0003,0.2,0.03208416700363159,0.335595703125,0.023952115,,,,,
180.0,6144,12.767932891845703,,,,,,,,,,,,,,,
180.0,7168,12.905319213867188,27.37399673461914,30,41.16634463816881,-0.08959333800485184,-5.864928114414215,0.0003,0.2,0.08347207307815552,0.32685546875,0.024834938,,,,,
180.0,8192,13.894110679626465,,,,,,,,,,,,,,,
180.0,9216,14.098386764526367,16.018766403198242,40,48.86802497953177,-0.08899930503466749,-5.8596952021121975,0.0003,0.2,-0.027252197265625,0.3115234375,0.024539953,,,,,
180.0,10240,14.577569961547852,,,,,,,,,,,,,,,
180.0,11264,13.61196517944336,24.77385139465332,50,41.46093625873327,-0.08741680594757781,-5.855724680423736,0.0003,0.2,0.0485723614692688,0.33212890625,0.024979029,,,,,
180.0,12288,13.621747970581055,,,,,,,,,,,,,,,
180.0,13312,15.684952735900879,10.299657821655273,60,40.50250384584069,-0.0836591146835417,-5.846520677953959,0.0003,0.2,-0.06572675704956055,0.292431640625,0.02553584,,,,,
180.0,14336,14.005549430847168,,,,,,,,,,,,,,,
180.0,15360,13.236842155456543,7.370691299438477,70,32.328863026201724,-0.08781360240318463,-5.842840227484703,0.0003,0.2,0.20104289054870605,0.34287109375,0.027744057,,,,,
180.0,16384,14.646990776062012,,,,,,,,,,,,,,,
180.0,17408,13.224283218383789,10.421607971191406,80,28.403018509596585,-0.09695377975003794,-5.834100458025932,0.0003,0.2,0.19502592086791992,0.3978515625,0.033230692,,,,,
180.0,18432,14.97912883758545,,,,,,,,,,,,,,,
180.0,19456,13.855871200561523,10.141427040100098,90,27.946870090067385,-0.0927964566508308,-5.82668628320098,0.0003,0.2,0.28517043590545654,0.364404296875,0.029661486,,,,,
