eval/mean_reward,eval/mean_ep_length,time/total_timesteps,train/clip_fraction,train/entropy_loss,train/approx_kl,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/value_loss,train/learning_rate,train/policy_gradient_loss,time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps
18.306087493896484,120.0,1024,,,,,,,,,,,,,,,
22.714839935302734,120.0,2048,,,,,,,,,,,,,,,
18.91992950439453,120.0,3072,0.294384765625,-5.854922480136156,0.042173263,80.10028076171875,10,-2.4437904357910156e-05,0.3,61.15182398408651,0.0003,-0.053699899557977916,,,,,
19.365219116210938,120.0,4096,,,,,,,,,,,,,,,
21.85174560546875,120.0,5120,0.3140625,-5.816606729477644,0.043913536,63.054229736328125,20,-1.1920928955078125e-07,0.3,63.11100009083748,0.0003,-0.05466201358285616,,,,,
22.747657775878906,120.0,6144,,,,,,,,,,,,,,,
19.495155334472656,120.0,7168,0.27744140625,-5.798743815720082,0.04247538,46.402225494384766,30,5.960464477539063e-08,0.3,50.643168702721596,0.0003,-0.05250716661248589,,,,,
22.50164222717285,120.0,8192,,,,,,,,,,,,,,,
19.131772994995117,120.0,9216,0.242529296875,-5.752589563280344,0.038927957,36.00236129760742,40,0.0,0.3,62.12279958426952,0.0003,-0.04452787234076823,,,,,
22.561004638671875,120.0,10240,,,,,,,,,,,,,,,
20.64282989501953,120.0,11264,0.270556640625,-5.723221763968468,0.04495444,92.41876220703125,50,0.0,0.3,63.446152706444266,0.0003,-0.05133933919241827,,,,,
23.17917251586914,120.0,12288,,,,,,,,,,,,,,,
21.097755432128906,120.0,13312,0.233349609375,-5.695346853882074,0.04005495,72.9161605834961,60,-1.1920928955078125e-07,0.3,66.70344856977462,0.0003,-0.04678931910675601,,,,,
21.60796356201172,120.0,14336,,,,,,,,,,,,,,,
21.118412017822266,120.0,15360,0.24375,-5.6775334775447845,0.039514724,67.69853210449219,70,0.0,0.3,50.12505723685026,0.0003,-0.04649381521012401,,,,,
21.656753540039062,120.0,16384,,,,,,,,,,,,,,,
21.700504302978516,120.0,17408,0.24619140625,-5.675001715123654,0.04050742,48.008888244628906,80,0.0,0.3,59.61882736682892,0.0003,-0.04345303828886245,,,,,
24.743328094482422,120.0,18432,,,,,,,,,,,,,,,
19.726421356201172,120.0,19456,0.2634765625,-5.670749903470278,0.04300046,29.51539421081543,90,0.0,0.3,54.9314999550581,0.0003,-0.04721083291406103,,,,,
25.355728149414062,120.0,20480,,,,,,,,,,,,,,,
,,20480,,,,,,,,,,,10,21.355952619999997,117,120.0,174
23.515380859375,120.0,21504,0.278662109375,-5.6724330969154835,0.041914627,51.4940185546875,100,5.960464477539063e-08,0.3,49.317488197982314,0.0003,-0.04457241813433939,,,,,
21.19626235961914,120.0,22528,,,,,,,,,,,,,,,
22.345518112182617,120.0,23552,0.24609375,-5.647862267494202,0.042672142,56.00705337524414,110,0.0,0.3,65.8779183357954,0.0003,-0.05090422069333726,,,,,
21.180519104003906,120.0,24576,,,,,,,,,,,,,,,
21.93001937866211,120.0,25600,0.27587890625,-5.593120189756155,0.043821707,80.42695617675781,120,0.0,0.3,64.36143000721931,0.0003,-0.040633872706894184,,,,,
25.064590454101562,120.0,26624,,,,,,,,,,,,,,,
24.987979888916016,120.0,27648,0.263916015625,-5.550860567390918,0.046151925,43.90279769897461,130,0.0,0.3,66.73124941885472,0.0003,-0.04649901477241656,,,,,
26.161300659179688,120.0,28672,,,,,,,,,,,,,,,
22.764192581176758,120.0,29696,0.202001953125,-5.570115941762924,0.04038512,46.82975387573242,140,5.960464477539063e-08,0.3,54.14482002407313,0.0003,-0.03645933150910423,,,,,
23.14539337158203,120.0,30720,,,,,,,,,,,,,,,
24.54144287109375,120.0,31744,0.25166015625,-5.5288121528923515,0.04396569,99.6212158203125,150,0.0,0.3,63.326505807042125,0.0003,-0.04299120770447189,,,,,
23.713178634643555,120.0,32768,,,,,,,,,,,,,,,
21.725765228271484,120.0,33792,0.24482421875,-5.559700444340706,0.045526214,74.63835906982422,160,0.0,0.3,60.12146137058735,0.0003,-0.03973701425129548,,,,,
22.146699905395508,120.0,34816,,,,,,,,,,,,,,,
21.02143096923828,120.0,35840,0.229345703125,-5.5419711478054525,0.03966235,69.11682891845703,170,-1.0728836059570312e-06,0.3,58.11311067044735,0.0003,-0.04187806966438075,,,,,
23.596736907958984,120.0,36864,,,,,,,,,,,,,,,
22.874547958374023,120.0,37888,0.210986328125,-5.519559095799923,0.03749176,60.85783767700195,180,0.0,0.3,58.80677391588688,0.0003,-0.037999740466329965,,,,,
25.672683715820312,120.0,38912,,,,,,,,,,,,,,,
22.895248413085938,120.0,39936,0.243505859375,-5.503191686421633,0.0391206,60.088260650634766,190,0.0,0.3,60.38250249922275,0.0003,-0.04371458920650184,,,,,
22.87002182006836,120.0,40960,,,,,,,,,,,,,,,
,,40960,,,,,,,,,,,20,22.666366129999997,236,120.0,172
24.24765968322754,120.0,41984,0.245703125,-5.488157734274864,0.04385873,44.14588165283203,200,-1.1920928955078125e-07,0.3,54.03727483451367,0.0003,-0.04236167143753846,,,,,
21.827922821044922,120.0,43008,,,,,,,,,,,,,,,
23.23375129699707,120.0,44032,0.269921875,-5.476419058442116,0.04480828,50.711883544921875,210,0.0,0.3,62.15739851891995,0.0003,-0.04496683867109823,,,,,
23.41785430908203,120.0,45056,,,,,,,,,,,,,,,
21.781526565551758,120.0,46080,0.255419921875,-5.456606743484736,0.04442711,77.91517639160156,220,5.960464477539063e-08,0.3,64.00628117322921,0.0003,-0.046130782176442155,,,,,
21.412464141845703,120.0,47104,,,,,,,,,,,,,,,
23.402820587158203,120.0,48128,0.2734375,-5.501193473488092,0.04654704,37.05668258666992,230,0.0,0.3,58.116226848959926,0.0003,-0.04407431158215332,,,,,
22.196348190307617,120.0,49152,,,,,,,,,,,,,,,
23.41088104248047,120.0,50176,0.210400390625,-5.527438543736935,0.040883906,48.896636962890625,240,-1.1920928955078125e-07,0.3,61.222259879112244,0.0003,-0.039746308414760276,,,,,
25.341264724731445,120.0,51200,,,,,,,,,,,,,,,
22.606542587280273,120.0,52224,0.261669921875,-5.525764501839876,0.044570096,70.63129425048828,250,0.0,0.3,61.229922384023666,0.0003,-0.04506616540020332,,,,,
24.95404624938965,120.0,53248,,,,,,,,,,,,,,,
20.69795799255371,120.0,54272,0.23173828125,-5.537413436919451,0.041928608,30.989757537841797,260,0.0,0.3,50.623771691322325,0.0003,-0.04270848541491432,,,,,
23.84648323059082,120.0,55296,,,,,,,,,,,,,,,
22.82599639892578,120.0,56320,0.25341796875,-5.535860435664654,0.046859823,66.38557434082031,270,0.0,0.3,64.4968373298645,0.0003,-0.044837628073582894,,,,,
21.368682861328125,120.0,57344,,,,,,,,,,,,,,,
23.664888381958008,120.0,58368,0.19990234375,-5.513481678068638,0.038822554,63.328758239746094,280,0.0,0.3,63.111071303486824,0.0003,-0.037737731690140205,,,,,
23.32061195373535,120.0,59392,,,,,,,,,,,,,,,
