time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/loss,train/clip_fraction,train/explained_variance,train/clip_range,train/learning_rate,train/value_loss,train/entropy_loss,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean
35840,50.0,20.20037841796875,,,,,,,,,,,,,,,
36352,50.0,19.50006103515625,,,,,,,,,,,,,,,
36864,50.0,27.66690444946289,,,,,,,,,,,,,,,
37376,50.0,24.142410278320312,180,0.07439186706906184,0.12973256,40487.89453125,0.446044921875,0.0,0.2,0.0003,84837.97373046874,-5.264672055840492,,,,,
37888,50.0,15.462600708007812,,,,,,,,,,,,,,,
38400,50.0,17.48311996459961,,,,,,,,,,,,,,,
38912,50.0,15.12451171875,,,,,,,,,,,,,,,
39424,50.0,19.117820739746094,190,0.07568382826866582,0.13387741,48779.41796875,0.419287109375,5.960464477539063e-08,0.2,0.0003,82600.55118408203,-5.263133902847767,,,,,
39936,50.0,22.136411666870117,,,,,,,,,,,,,,,
40448,50.0,16.903945922851562,,,,,,,,,,,,,,,
40960,50.0,16.68012237548828,,,,,,,,,,,,,,,
40960,,,,,,,,,,,,,1144.6628211700001,79,517,20,50.0
41472,50.0,15.437847137451172,200,0.08292466424754821,0.13461784,43831.8203125,0.42236328125,0.0,0.2,0.0003,89416.85200195313,-5.264596353471279,,,,,
41984,50.0,19.202285766601562,,,,,,,,,,,,,,,
42496,50.0,21.826440811157227,,,,,,,,,,,,,,,
43008,50.0,20.758695602416992,,,,,,,,,,,,,,,
43520,50.0,21.821022033691406,210,0.06949700604891404,0.13118502,41770.03125,0.412255859375,1.7881393432617188e-07,0.2,0.0003,82177.37991943359,-5.265509673953057,,,,,
44032,50.0,19.565963745117188,,,,,,,,,,,,,,,
44544,50.0,20.664857864379883,,,,,,,,,,,,,,,
45056,50.0,21.62565040588379,,,,,,,,,,,,,,,
45568,50.0,24.812410354614258,220,0.061200550707872024,0.13338637,37140.0703125,0.443505859375,1.1920928955078125e-07,0.2,0.0003,86470.98364257812,-5.2637658849358555,,,,,
46080,50.0,22.249950408935547,,,,,,,,,,,,,,,
46592,50.0,22.735605239868164,,,,,,,,,,,,,,,
47104,50.0,20.421798706054688,,,,,,,,,,,,,,,
47616,50.0,18.036418914794922,230,0.07505339403287507,0.13145362,43867.57421875,0.4251953125,0.0,0.2,0.0003,86060.64321289063,-5.262612108886242,,,,,
48128,50.0,24.453231811523438,,,,,,,,,,,,,,,
48640,50.0,23.292369842529297,,,,,,,,,,,,,,,
49152,50.0,23.863296508789062,,,,,,,,,,,,,,,
