eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/clip_range,train/explained_variance,train/entropy_loss,train/loss,train/clip_fraction,train/value_loss,train/learning_rate,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean
180.0,1024,15.091968536376953,,,,,,,,,,,,,,,
180.0,2048,12.963949203491211,,,,,,,,,,,,,,,
180.0,3072,14.864653587341309,0.05084301634487929,10,0.25636593,0.2,-2.5391578674316406e-05,-5.665809719264507,15.594260215759277,0.71162109375,20.80721069984138,0.003,,,,,
180.0,4096,13.705281257629395,,,,,,,,,,,,,,,
180.0,5120,21.288291931152344,0.1036983081659855,20,0.5722454,0.2,0.0,-5.099848936498165,14.225958824157715,0.824072265625,15.804783323407174,0.003,,,,,
180.0,6144,19.443313598632812,,,,,,,,,,,,,,,
180.0,7168,26.847312927246094,0.12251570751250256,30,0.58911234,0.2,-1.1920928955078125e-07,-4.568713106215,17.01041603088379,0.8134765625,16.428030019998552,0.003,,,,,
180.0,8192,23.41260528564453,,,,,,,,,,,,,,,
180.0,9216,33.762874603271484,0.10902721563252271,40,0.58525574,0.2,0.0,-4.247129540145397,17.816110610961914,0.760888671875,15.243757139146329,0.003,,,,,
180.0,10240,31.92143440246582,,,,,,,,,,,,,,,
180.0,11264,38.72478485107422,0.11183853364636889,50,0.3770783,0.2,0.0,-3.7915360178798436,6.700623035430908,0.72529296875,16.026762100681662,0.003,,,,,
180.0,12288,39.249732971191406,,,,,,,,,,,,,,,
180.0,13312,42.37294006347656,0.06499769649017254,60,0.25939783,0.2,0.0,-3.660813698172569,13.134068489074707,0.6654296875,15.257799687236547,0.003,,,,,
180.0,14336,46.665428161621094,,,,,,,,,,,,,,,
180.0,15360,45.72263717651367,0.07344179871870438,70,0.40779996,0.2,-1.1920928955078125e-07,-3.366574688255787,8.80380916595459,0.64404296875,11.631369562447071,0.003,,,,,
180.0,16384,50.26319122314453,,,,,,,,,,,,,,,
180.0,17408,57.89622497558594,0.06469390438505798,80,0.31237793,0.2,0.0,-3.399607215076685,8.929409980773926,0.622607421875,15.113266602531075,0.003,,,,,
180.0,18432,56.737159729003906,,,,,,,,,,,,,,,
180.0,19456,61.25230026245117,0.060768765425746094,90,0.31095713,0.2,0.0,-3.3234486475586893,10.359676361083984,0.591064453125,12.976476399600505,0.003,,,,,
180.0,20480,64.63236999511719,,,,,,,,,,,,,,,
,20480,,,,,,,,,,,,76,10,268,39.97673991999999,180.0
180.0,21504,62.8983154296875,0.07072986584389582,100,0.243947,0.2,0.0,-3.2714693769812584,5.685194492340088,0.62958984375,12.61858304552734,0.003,,,,,
180.0,22528,61.32785415649414,,,,,,,,,,,,,,,
180.0,23552,62.10980224609375,0.0542131513269851,110,0.59886557,0.2,0.0,-3.3855035934597253,12.320104598999023,0.602294921875,15.129407027363778,0.003,,,,,
180.0,24576,59.24871826171875,,,,,,,,,,,,,,,
180.0,25600,63.2210693359375,0.07013897712240577,120,0.32279515,0.2,0.0,-3.3988267734646795,13.080365180969238,0.610888671875,16.68437704704702,0.003,,,,,
180.0,26624,61.8961067199707,,,,,,,,,,,,,,,
180.0,27648,65.83705139160156,0.060837922006612644,130,0.5230433,0.2,0.0,-3.3583678930997847,11.296895027160645,0.6205078125,15.760925226658582,0.003,,,,,
180.0,28672,66.50444030761719,,,,,,,,,,,,,,,
180.0,29696,64.96930694580078,0.06033453763084253,140,0.7957128,0.2,-1.1920928955078125e-07,-3.304585110768676,13.127217292785645,0.60859375,14.686798509955405,0.003,,,,,
180.0,30720,63.537925720214844,,,,,,,,,,,,,,,
180.0,31744,69.58380126953125,0.06146944312931737,150,0.35433602,0.2,1.1920928955078125e-07,-3.3219495594501494,30.229360580444336,0.620849609375,15.810620929673314,0.003,,,,,
180.0,32768,69.81330871582031,,,,,,,,,,,,,,,
180.0,33792,75.96337890625,0.073456778403488,160,0.318501,0.2,-1.1920928955078125e-07,-3.2168457951396703,13.321038246154785,0.656591796875,16.393757209926843,0.003,,,,,
180.0,34816,69.88310241699219,,,,,,,,,,,,,,,
180.0,35840,58.94157028198242,0.06131106245011324,170,0.11402406,0.2,0.0,-3.165187681093812,6.039084434509277,0.56669921875,10.929390988498927,0.003,,,,,
180.0,36864,68.2466049194336,,,,,,,,,,,,,,,
180.0,37888,66.78343200683594,0.05923010364713264,180,0.51696414,0.2,-1.1920928955078125e-07,-3.2477603800594808,3.5652506351470947,0.638916015625,12.027187733352184,0.003,,,,,
180.0,38912,62.285037994384766,,,,,,,,,,,,,,,
180.0,39936,67.44203186035156,0.05219444395552273,190,0.15271983,0.2,0.0,-3.370398884266615,15.37830924987793,0.593798828125,15.045806326717138,0.003,,,,,
180.0,40960,67.11695098876953,,,,,,,,,,,,,,,
,40960,,,,,,,,,,,,157,20,260,65.33810556000002,180.0
