time/total_timesteps,eval/mean_ep_length,eval/mean_reward,train/n_updates,train/approx_kl,train/learning_rate,train/clip_range,train/value_loss,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/loss,train/explained_variance,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean
305152,80.0,35.1080322265625,,,,,,,,,,,,,,,
307200,80.0,31.985137939453125,750,0.04068943,0.0003,0.3,80.70878212153912,-5.581706770509482,0.233447265625,-0.04299452421691967,79.61852264404297,0.0,,,,,
309248,80.0,32.10395431518555,760,0.043676928,0.0003,0.3,71.10789365172386,-5.579806270450353,0.2611328125,-0.044818843621760605,68.87545776367188,0.0,,,,,
311296,80.0,33.280521392822266,770,0.043217555,0.0003,0.3,78.1195575505495,-5.592150603979826,0.23671875,-0.044767814745137004,94.306884765625,0.0,,,,,
313344,80.0,34.514591217041016,780,0.04251016,0.0003,0.3,63.680472350120546,-5.523052809387446,0.261376953125,-0.04002516301698052,38.61238479614258,0.0,,,,,
315392,80.0,34.19013595581055,790,0.043065682,0.0003,0.3,67.05077374577522,-5.523205852508545,0.24755859375,-0.04039458949264372,79.54629516601562,0.0,,,,,
317440,80.0,31.826623916625977,800,0.042874787,0.0003,0.3,69.51761098504066,-5.498590973764658,0.259765625,-0.04384837292163866,62.00980758666992,0.0,,,,,
319488,80.0,31.31534194946289,810,0.042356405,0.0003,0.3,64.92731460034847,-5.434659710526466,0.27998046875,-0.04639503129728837,50.40975570678711,0.0,,,,,
321536,80.0,35.29671859741211,820,0.044574544,0.0003,0.3,67.89574180841446,-5.425843513011932,0.2646484375,-0.04182381536666071,46.9974479675293,0.0,,,,,
323584,80.0,37.09254455566406,830,0.041721784,0.0003,0.3,77.14018133282661,-5.435637653619051,0.25263671875,-0.048278142348863184,90.38323974609375,0.0,,,,,
325632,80.0,32.21553039550781,840,0.040824838,0.0003,0.3,68.9671175956726,-5.289464543759823,0.26162109375,-0.04026124141237233,62.395198822021484,0.0,,,,,
327680,80.0,37.513614654541016,850,0.044214174,0.0003,0.3,72.18123396933079,-5.21395607739687,0.295458984375,-0.04608275489154039,54.06572723388672,0.0,,,,,
329728,80.0,33.77503204345703,860,0.040017974,0.0003,0.3,71.6764412254095,-5.197987781465054,0.233203125,-0.040992449487384876,68.42936706542969,0.0,,,,,
329728,,,,,,,,,,,,,10,34.253394709999995,79,257,80.0
331776,80.0,38.38185119628906,870,0.041490227,0.0003,0.3,68.68242973983288,-5.107308349758386,0.253515625,-0.04271633275202476,48.626895904541016,0.0,,,,,
333824,80.0,37.600494384765625,880,0.041875143,0.0003,0.3,65.702936860919,-5.093492391705513,0.26259765625,-0.03783098204003181,43.52592849731445,0.0,,,,,
335872,80.0,36.574806213378906,890,0.04571083,0.0003,0.3,73.14676689505578,-5.086580935865641,0.270654296875,-0.045976575568784026,69.29936981201172,0.0,,,,,
337920,80.0,38.63100814819336,900,0.038231462,0.0003,0.3,75.45690994858742,-5.089347464591265,0.227880859375,-0.0351953569217585,57.6695671081543,0.0,,,,,
339968,80.0,39.7808837890625,910,0.041593287,0.0003,0.3,75.23815588057042,-5.108537467569112,0.220556640625,-0.035198490048060194,67.77120971679688,0.0,,,,,
342016,80.0,35.17417526245117,920,0.04233533,0.0003,0.3,68.21128480434417,-5.0775350227952005,0.2232421875,-0.03719127354561351,63.17136764526367,0.0,,,,,
344064,80.0,34.129756927490234,930,0.04306285,0.0003,0.3,71.63837291300297,-5.040115641057492,0.239208984375,-0.03622436024452327,81.64302825927734,0.0,,,,,
346112,80.0,36.09015655517578,940,0.046207473,0.0003,0.3,69.99639330506325,-5.041129644960165,0.274365234375,-0.04366961755295051,62.7252082824707,0.0,,,,,
348160,80.0,38.03718566894531,950,0.040684573,0.0003,0.3,64.33949363231659,-4.91863085180521,0.242431640625,-0.04002820621826686,103.63166809082031,-1.1920928955078125e-07,,,,,
350208,80.0,37.08552551269531,960,0.043020483,0.0003,0.3,66.93554956614972,-4.88577184304595,0.2564453125,-0.037027063699497376,47.03498077392578,0.0,,,,,
350208,,,,,,,,,,,,,20,36.98936903,160,255,80.0
352256,80.0,42.82813262939453,970,0.042717244,0.0003,0.3,65.39684734940529,-4.810749374330044,0.301806640625,-0.04421459372388199,90.42533111572266,0.0,,,,,
354304,80.0,38.04963302612305,980,0.041442323,0.0003,0.3,66.80604659020901,-4.688858117163181,0.2337890625,-0.03184941474464722,86.52405548095703,0.0,,,,,
356352,80.0,39.77544021606445,990,0.040068537,0.0003,0.3,78.35997613966465,-4.692451657354832,0.224951171875,-0.033360499184345825,82.32392120361328,0.0,,,,,
358400,80.0,43.854549407958984,1000,0.04210513,0.0003,0.3,77.8760051190853,-4.655651899427175,0.289453125,-0.04130487221700605,83.64122009277344,0.0,,,,,
360448,80.0,39.46428680419922,1010,0.04458202,0.0003,0.3,59.4626161634922,-4.614902840554715,0.20732421875,-0.02525504244695185,43.73362731933594,5.960464477539063e-08,,,,,
362496,80.0,39.83659362792969,1020,0.048066385,0.0003,0.3,60.425622534751895,-4.687970851361752,0.26259765625,-0.04100413057894912,43.05538558959961,0.0,,,,,
364544,80.0,41.135047912597656,1030,0.043469384,0.0003,0.3,73.07841768860817,-4.681678862124682,0.239208984375,-0.03306458683364326,50.16010665893555,0.0,,,,,
366592,80.0,42.007591247558594,1040,0.04568766,0.0003,0.3,61.211725583672525,-4.70842344686389,0.25078125,-0.04037606384517858,60.059993743896484,0.0,,,,,
368640,80.0,39.580909729003906,1050,0.038052514,0.0003,0.3,68.4572495996952,-4.736619865894317,0.236767578125,-0.030846316013776232,64.50634765625,0.0,,,,,
370688,80.0,42.48633575439453,1060,0.04100366,0.0003,0.3,66.47768806815148,-4.786250168085099,0.238525390625,-0.03264542032702593,76.75960540771484,0.0,,,,,
370688,,,,,,,,,,,,,30,43.98614337,237,258,80.0
372736,80.0,44.41069793701172,1070,0.04225276,0.0003,0.3,66.11630937159062,-4.722024321556091,0.229052734375,-0.03456105036166264,67.18477630615234,0.0,,,,,
