eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/clip_range,train/learning_rate,train/clip_fraction,train/loss,train/value_loss,train/entropy_loss,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean
27.0,1024,38.266082763671875,,,,,,,,,,,,,,,
27.0,2048,41.80379867553711,,,,,,,,,,,,,,,
27.0,3072,36.97909927368164,10,-0.08876363933086395,0.0030066370964050293,0.102639556,0.2,0.0003,0.528955078125,41.1055793762207,88.25596318244934,-5.849052920937538,,,,,
27.0,4096,38.726951599121094,,,,,,,,,,,,,,,
27.0,5120,38.686500549316406,20,-0.06394259899971075,-1.811981201171875e-05,0.059943657,0.2,0.0003,0.454248046875,37.94779968261719,116.08464818000793,-5.8192578732967375,,,,,
27.0,6144,43.126495361328125,,,,,,,,,,,,,,,
27.0,7168,40.175045013427734,30,-0.07063622141722589,0.0,0.060606554,0.2,0.0003,0.447705078125,36.45396423339844,95.96968845129012,-5.797661863267422,,,,,
27.0,8192,43.14909362792969,,,,,,,,,,,,,,,
27.0,9216,38.783546447753906,40,-0.07794824213488027,0.0,0.06842616,0.2,0.0003,0.47099609375,29.162704467773438,92.65623823404312,-5.7511085703969,,,,,
27.0,10240,36.350955963134766,,,,,,,,,,,,,,,
27.0,11264,39.575218200683594,50,-0.07408162247156724,1.1920928955078125e-07,0.07202292,0.2,0.0003,0.47421875,24.561786651611328,85.67635505199432,-5.714215715229511,,,,,
27.0,12288,33.2376708984375,,,,,,,,,,,,,,,
27.0,13312,40.174686431884766,60,-0.06751970835030079,0.0,0.07696238,0.2,0.0003,0.47412109375,30.236446380615234,82.33124417066574,-5.6589739754796025,,,,,
27.0,14336,38.038204193115234,,,,,,,,,,,,,,,
27.0,15360,33.94511413574219,70,-0.06979573498247191,-1.1920928955078125e-07,0.06697889,0.2,0.0003,0.475927734375,27.684650421142578,70.79944947957992,-5.620915800333023,,,,,
27.0,16384,42.41741180419922,,,,,,,,,,,,,,,
27.0,17408,40.70655822753906,80,-0.0703377045399975,-5.960464477539062e-07,0.077615164,0.2,0.0003,0.479345703125,34.60148239135742,67.79644141197204,-5.562258115410804,,,,,
27.0,18432,38.921165466308594,,,,,,,,,,,,,,,
27.0,19456,44.16222381591797,90,-0.06517723147990181,0.0,0.069313884,0.2,0.0003,0.47353515625,27.5772647857666,61.94246482849121,-5.502509610354901,,,,,
27.0,20480,39.599021911621094,,,,,,,,,,,,,,,
,20480,,,,,,,,,,,,41,27.0,498,10,39.82046937
27.0,21504,41.81342315673828,100,-0.060430309816729276,0.0,0.07671724,0.2,0.0003,0.4712890625,23.592727661132812,61.67604446411133,-5.455164717137814,,,,,
27.0,22528,38.00339126586914,,,,,,,,,,,,,,,
27.0,23552,40.334938049316406,110,-0.06409041699371301,-2.384185791015625e-07,0.07185183,0.2,0.0003,0.471630859375,19.273717880249023,51.206082040071486,-5.400167420506477,,,,,
27.0,24576,33.750823974609375,,,,,,,,,,,,,,,
27.0,25600,40.49003219604492,120,-0.05968520906753838,0.0,0.07841441,0.2,0.0003,0.493408203125,19.804964065551758,48.584798890352246,-5.346924805641175,,,,,
27.0,26624,38.91797637939453,,,,,,,,,,,,,,,
27.0,27648,37.32067108154297,130,-0.06438602428534068,-1.1920928955078125e-07,0.07565002,0.2,0.0003,0.470849609375,18.65514373779297,52.98917979001999,-5.308862578868866,,,,,
27.0,28672,44.919830322265625,,,,,,,,,,,,,,,
27.0,29696,41.13825988769531,140,-0.06299631138390396,0.0,0.07616526,0.2,0.0003,0.484521484375,19.197933197021484,43.95339963436127,-5.248198372125626,,,,,
27.0,30720,36.085899353027344,,,,,,,,,,,,,,,
27.0,31744,41.59733581542969,150,-0.0631057570601115,0.0,0.076498985,0.2,0.0003,0.488525390625,30.765579223632812,51.070133697986606,-5.197799392044544,,,,,
27.0,32768,41.837745666503906,,,,,,,,,,,,,,,
27.0,33792,38.72427749633789,160,-0.054356329014990476,0.0,0.07322976,0.2,0.0003,0.473291015625,22.229551315307617,42.96882236003876,-5.133280362188816,,,,,
27.0,34816,39.91587829589844,,,,,,,,,,,,,,,
27.0,35840,43.27391815185547,170,-0.048935443733353165,0.0,0.07962913,0.2,0.0003,0.499072265625,23.544160842895508,46.294190460443495,-5.092461252212525,,,,,
27.0,36864,37.13393020629883,,,,,,,,,,,,,,,
27.0,37888,35.60202407836914,180,-0.059808336256537586,0.0,0.07933108,0.2,0.0003,0.487109375,16.546472549438477,40.78823605179787,-5.041119410097599,,,,,
27.0,38912,37.10588836669922,,,,,,,,,,,,,,,
27.0,39936,35.70827102661133,190,-0.05707376712234691,0.0,0.07833599,0.2,0.0003,0.489794921875,21.467567443847656,44.10143543481827,-4.9845585286617276,,,,,
27.0,40960,41.196510314941406,,,,,,,,,,,,,,,
,40960,,,,,,,,,,,,82,27.0,499,20,39.907942229999996
27.0,41984,38.801910400390625,200,-0.05579060590971494,0.0,0.07436912,0.2,0.0003,0.496044921875,21.144287109375,42.67771362662315,-4.9492371246218685,,,,,
27.0,43008,43.77921676635742,,,,,,,,,,,,,,,
27.0,44032,39.51026916503906,210,-0.05651035309128929,0.0,0.07113613,0.2,0.0003,0.468310546875,18.622547149658203,43.65012073516846,-4.884015564620495,,,,,
27.0,45056,41.87639236450195,,,,,,,,,,,,,,,
27.0,46080,42.348388671875,220,-0.053708171064499766,0.0,0.079535335,0.2,0.0003,0.48046875,14.746068954467773,39.43322195410728,-4.822509405016899,,,,,
27.0,47104,40.26506042480469,,,,,,,,,,,,,,,
27.0,48128,41.060245513916016,230,-0.05568978617375251,0.0,0.074736774,0.2,0.0003,0.493212890625,17.015113830566406,39.572180742025374,-4.779986560344696,,,,,
27.0,49152,41.67694091796875,,,,,,,,,,,,,,,
27.0,50176,42.95323181152344,240,-0.06418089570361189,0.0,0.07570333,0.2,0.0003,0.4771484375,11.056729316711426,36.224864387512206,-4.710685709118843,,,,,
27.0,51200,45.06624221801758,,,,,,,,,,,,,,,
27.0,52224,47.67223358154297,250,-0.05054310682462528,0.0,0.0675234,0.2,0.0003,0.466357421875,20.085269927978516,38.13899462819099,-4.661607944965363,,,,,
27.0,53248,41.48358917236328,,,,,,,,,,,,,,,
27.0,54272,43.456321716308594,260,-0.05127119645185303,0.0,0.06714559,0.2,0.0003,0.487646484375,13.321867942810059,34.20372558832169,-4.609566247463226,,,,,
27.0,55296,41.60392379760742,,,,,,,,,,,,,,,
27.0,56320,40.313133239746094,270,-0.05290794301545247,0.0,0.07548775,0.2,0.0003,0.49638671875,21.47096061706543,40.60214866399765,-4.549799430370331,,,,,
27.0,57344,41.33782196044922,,,,,,,,,,,,,,,
27.0,58368,36.46293258666992,280,-0.0499824219092261,1.1920928955078125e-07,0.08548173,0.2,0.0003,0.503515625,21.996686935424805,39.80261878967285,-4.5129352658987045,,,,,
27.0,59392,45.35706329345703,,,,,,,,,,,,,,,
27.0,60416,41.462093353271484,290,-0.056063306517899036,0.0,0.06978558,0.2,0.0003,0.4474609375,21.663850784301758,40.706825053691865,-4.436879488825798,,,,,
27.0,61440,37.333229064941406,,,,,,,,,,,,,,,
,61440,,,,,,,,,,,,123,27.0,496,30,43.74061857000001
27.0,62464,42.08557891845703,300,-0.04724183480429929,1.1920928955078125e-07,0.07495628,0.2,0.0003,0.480859375,21.963441848754883,39.99267704486847,-4.377710461616516,,,,,
27.0,63488,41.89910888671875,,,,,,,,,,,,,,,
27.0,64512,41.83113098144531,310,-0.046083428352721965,0.0,0.05590438,0.2,0.0003,0.4205078125,18.96084213256836,36.74315734505653,-4.367062611877918,,,,,
27.0,65536,44.24081802368164,,,,,,,,,,,,,,,
27.0,66560,44.91973114013672,320,-0.05634743729606271,0.0,0.06516701,0.2,0.0003,0.483984375,19.872783660888672,39.11821455359459,-4.348277702927589,,,,,
27.0,67584,44.714866638183594,,,,,,,,,,,,,,,
27.0,68608,46.22385787963867,330,-0.04971616021648515,0.0,0.04915619,0.2,0.0003,0.396484375,19.89702033996582,37.417100477218625,-4.307470160722732,,,,,
27.0,69632,48.34912109375,,,,,,,,,,,,,,,
27.0,70656,46.446022033691406,340,-0.053943491433165035,0.0,0.06734222,0.2,0.0003,0.465478515625,17.79899787902832,35.66813926696777,-4.240074031054974,,,,,
27.0,71680,47.903804779052734,,,,,,,,,,,,,,,
27.0,72704,47.34347915649414,350,-0.05410623534116894,1.1920928955078125e-07,0.06184879,0.2,0.0003,0.415185546875,17.207887649536133,36.24994149208069,-4.159976211190224,,,,,
27.0,73728,46.83454895019531,,,,,,,,,,,,,,,
27.0,74752,46.01350402832031,360,-0.04500465100281872,0.0,0.049861953,0.2,0.0003,0.384130859375,20.21277618408203,36.57465227842331,-4.098011258244514,,,,,
27.0,75776,45.81742858886719,,,,,,,,,,,,,,,
27.0,76800,51.254268646240234,370,-0.05208955003763549,0.0,0.05789151,0.2,0.0003,0.421337890625,28.483259201049805,40.53099562525749,-4.074250002205372,,,,,
27.0,77824,49.38304901123047,,,,,,,,,,,,,,,
27.0,78848,47.97220993041992,380,-0.05581577781704254,0.0,0.06853223,0.2,0.0003,0.420166015625,13.71835994720459,33.28178223967552,-4.052809332311154,,,,,
27.0,79872,50.401206970214844,,,,,,,,,,,,,,,
27.0,80896,48.046630859375,390,-0.04603948051226325,0.0,0.06515055,0.2,0.0003,0.4294921875,15.73173999786377,29.434687739610673,-3.998641920089722,,,,,
27.0,81920,47.00339889526367,,,,,,,,,,,,,,,
,81920,,,,,,,,,,,,165,27.0,494,40,49.411002530000005
27.0,82944,49.17958450317383,400,-0.05274105067073833,1.1920928955078125e-07,0.067797996,0.2,0.0003,0.470947265625,14.11092472076416,34.084992569684985,-3.959434885531664,,,,,
27.0,83968,48.60645294189453,,,,,,,,,,,,,,,
