eval/mean_reward,time/total_timesteps,eval/mean_ep_length,train/approx_kl,train/learning_rate,train/n_updates,train/clip_fraction,train/loss,train/clip_range,train/explained_variance,train/entropy_loss,train/value_loss,train/policy_gradient_loss,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed
38.641876220703125,1024,40.0,,,,,,,,,,,,,,,
41.389976501464844,2048,40.0,,,,,,,,,,,,,,,
43.19948959350586,3072,40.0,0.0033695474,3e-05,10,0.1169921875,22.813453674316406,0.1,0.00020611286163330078,-5.884566944092512,39.93104192912578,-0.015455978953104932,,,,,
41.95315933227539,4096,40.0,,,,,,,,,,,,,,,
38.586463928222656,5120,40.0,0.0031144544,3e-05,20,0.1314453125,30.236894607543945,0.1,-9.310245513916016e-05,-5.880701699852944,33.73725935816765,-0.014354874000127893,,,,,
40.11045455932617,6144,40.0,,,,,,,,,,,,,,,
38.142616271972656,7168,40.0,0.003082872,3e-05,30,0.117236328125,30.678380966186523,0.1,0.0,-5.8773368068039415,31.43380391150713,-0.014513945866201538,,,,,
38.057334899902344,8192,40.0,,,,,,,,,,,,,,,
40.926666259765625,9216,40.0,0.0029325702,3e-05,40,0.124462890625,18.719135284423828,0.1,0.0,-5.874048656970262,32.61751548051834,-0.014982832074019825,,,,,
41.15254211425781,10240,40.0,,,,,,,,,,,,,,,
38.110504150390625,11264,40.0,0.002828185,3e-05,50,0.117822265625,23.858884811401367,0.1,0.0,-5.869901983439922,33.56363734453917,-0.014581626305152895,,,,,
36.97159194946289,12288,40.0,,,,,,,,,,,,,,,
37.45307922363281,13312,40.0,0.0030217124,3e-05,60,0.113623046875,16.5958194732666,0.1,0.0,-5.866915261000395,28.41611882597208,-0.014311466505023417,,,,,
40.38890838623047,14336,40.0,,,,,,,,,,,,,,,
40.61981964111328,15360,40.0,0.0029844027,3e-05,70,0.113330078125,25.292142868041992,0.1,0.0,-5.864235664159059,28.660354462265968,-0.01420506218855735,,,,,
45.650718688964844,16384,40.0,,,,,,,,,,,,,,,
40.91740036010742,17408,40.0,0.0030920105,3e-05,80,0.139794921875,22.494564056396484,0.1,1.1920928955078125e-07,-5.861026294529438,29.59735207259655,-0.017228501131830852,,,,,
41.20043182373047,18432,40.0,,,,,,,,,,,,,,,
37.43781280517578,19456,40.0,0.0028630395,3e-05,90,0.108349609375,20.377559661865234,0.1,0.0,-5.858040503412485,31.161574091017247,-0.014549081536097219,,,,,
42.1673583984375,20480,40.0,,,,,,,,,,,,,,,
,20480,,,,,,,,,,,,40.0,434,40.637330219999996,10,47
39.14090347290039,21504,40.0,0.0031038476,3e-05,100,0.147119140625,16.939456939697266,0.1,-1.1920928955078125e-07,-5.8552802465856075,27.602632354199887,-0.016494673107808923,,,,,
43.046913146972656,22528,40.0,,,,,,,,,,,,,,,
35.22004699707031,23552,40.0,0.0031704574,3e-05,110,0.122021484375,15.84200382232666,0.1,0.0,-5.851943250745535,31.028759694099428,-0.01611482522203005,,,,,
38.26949691772461,24576,40.0,,,,,,,,,,,,,,,
38.284236907958984,25600,40.0,0.0032669774,3e-05,120,0.14970703125,21.390058517456055,0.1,0.0,-5.848503603041172,32.07052377462387,-0.018169018642947777,,,,,
38.88303756713867,26624,40.0,,,,,,,,,,,,,,,
44.310638427734375,27648,40.0,0.0032484664,3e-05,130,0.14736328125,20.778013229370117,0.1,0.0,-5.84417217746377,29.910104620456696,-0.017435563811886823,,,,,
41.837528228759766,28672,40.0,,,,,,,,,,,,,,,
42.68971633911133,29696,40.0,0.0030765054,3e-05,140,0.1291015625,35.19298553466797,0.1,0.0,-5.839440839737653,32.14467997997999,-0.015314944175042911,,,,,
38.00086212158203,30720,40.0,,,,,,,,,,,,,,,
37.71334457397461,31744,40.0,0.0029976072,3e-05,150,0.1240234375,18.930410385131836,0.1,1.1920928955078125e-07,-5.836514165997505,33.63422380387783,-0.015196588734397665,,,,,
41.426368713378906,32768,40.0,,,,,,,,,,,,,,,
42.48936462402344,33792,40.0,0.00312716,3e-05,160,0.148779296875,17.352487564086914,0.1,0.0,-5.835257534682751,29.874570405483247,-0.016834455481148324,,,,,
43.119728088378906,34816,40.0,,,,,,,,,,,,,,,
44.33981704711914,35840,40.0,0.003284489,3e-05,170,0.160400390625,17.361948013305664,0.1,0.0,-5.833112719655037,28.25500389933586,-0.017008561169495805,,,,,
40.00324630737305,36864,40.0,,,,,,,,,,,,,,,
44.63755416870117,37888,40.0,0.002837791,3e-05,180,0.114892578125,30.08154296875,0.1,0.0,-5.829948730766773,31.54113402366638,-0.015151228790637105,,,,,
47.60780334472656,38912,40.0,,,,,,,,,,,,,,,
44.3367805480957,39936,40.0,0.0031781984,3e-05,190,0.123828125,24.520767211914062,0.1,0.0,-5.826969727873802,27.68418807387352,-0.014661461337527725,,,,,
39.636810302734375,40960,40.0,,,,,,,,,,,,,,,
,40960,,,,,,,,,,,,40.0,424,40.74014267,20,96
39.554046630859375,41984,40.0,0.0031597163,3e-05,200,0.115869140625,23.882814407348633,0.1,0.0,-5.825072336196899,29.881522350013256,-0.014504884124471573,,,,,
38.24881362915039,43008,40.0,,,,,,,,,,,,,,,
39.752899169921875,44032,40.0,0.003220887,3e-05,210,0.15556640625,18.60011863708496,0.1,0.0,-5.820650470256806,33.32654630094767,-0.017114394930104027,,,,,
44.82221984863281,45056,40.0,,,,,,,,,,,,,,,
36.757164001464844,46080,40.0,0.0032242856,3e-05,220,0.137744140625,18.877843856811523,0.1,0.0,-5.816405653953552,30.61798587888479,-0.015928300707309974,,,,,
40.92549133300781,47104,40.0,,,,,,,,,,,,,,,
39.505149841308594,48128,40.0,0.0032837638,3e-05,230,0.14150390625,24.86475944519043,0.1,0.0,-5.81267526075244,30.059315025806427,-0.016687161440495403,,,,,
41.46141052246094,49152,40.0,,,,,,,,,,,,,,,
45.92075729370117,50176,40.0,0.0029333562,3e-05,240,0.135498046875,17.469417572021484,0.1,0.0,-5.8096237376332285,31.82535401582718,-0.014828678733465495,,,,,
37.42745590209961,51200,40.0,,,,,,,,,,,,,,,
38.878074645996094,52224,40.0,0.0029728455,3e-05,250,0.118310546875,25.281246185302734,0.1,5.960464477539063e-08,-5.804920519888401,29.54579676538706,-0.014696774605909013,,,,,
40.77747344970703,53248,40.0,,,,,,,,,,,,,,,
