eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/n_updates,train/loss,train/explained_variance,train/clip_range,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/approx_kl,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/iterations
180.0,1024,13.015003204345703,,,,,,,,,,,,,,,
180.0,2048,12.914464950561523,,,,,,,,,,,,,,,
180.0,3072,13.115653991699219,10,9.480278015136719,0.0016720294952392578,0.2,0.4212890625,0.0003,-0.040413065241591536,-5.865449345111847,16.009359304606914,0.024480063,,,,,
180.0,4096,12.697364807128906,,,,,,,,,,,,,,,
180.0,5120,12.720680236816406,20,5.411391258239746,2.384185791015625e-07,0.2,0.431787109375,0.0003,-0.04249690896976972,-5.833633880317211,12.681215134263038,0.0255082,,,,,
180.0,6144,12.924055099487305,,,,,,,,,,,,,,,
180.0,7168,12.962860107421875,30,9.81949520111084,0.0,0.2,0.407080078125,0.0003,-0.04261971679225098,-5.805429473519325,15.800679381191731,0.02257681,,,,,
180.0,8192,12.997750282287598,,,,,,,,,,,,,,,
180.0,9216,13.602212905883789,40,4.889986038208008,0.0,0.2,0.34951171875,0.0003,-0.034956927761959376,-5.778899922966957,13.454501827061176,0.021732341,,,,,
180.0,10240,12.387495040893555,,,,,,,,,,,,,,,
180.0,11264,13.853227615356445,50,9.906682968139648,0.0,0.2,0.379052734375,0.0003,-0.040680105969659056,-5.739514726400375,14.944456700980663,0.024305945,,,,,
180.0,12288,13.333366394042969,,,,,,,,,,,,,,,
180.0,13312,13.806573867797852,60,7.828563690185547,-1.1920928955078125e-07,0.2,0.380908203125,0.0003,-0.039976194205519275,-5.723329068720341,15.243304692208767,0.024335057,,,,,
180.0,14336,13.81479263305664,,,,,,,,,,,,,,,
180.0,15360,14.282549858093262,70,3.722825288772583,5.960464477539063e-08,0.2,0.367919921875,0.0003,-0.03968339715356706,-5.712423686683178,14.560531301796436,0.023239907,,,,,
180.0,16384,13.31700325012207,,,,,,,,,,,,,,,
180.0,17408,13.014703750610352,80,4.234348297119141,-1.1920928955078125e-07,0.2,0.35966796875,0.0003,-0.03709603569877799,-5.686647361516952,15.978901840001345,0.022082858,,,,,
180.0,18432,13.183574676513672,,,,,,,,,,,,,,,
180.0,19456,13.61825942993164,90,9.046530723571777,1.1920928955078125e-07,0.2,0.37109375,0.0003,-0.03793624384852592,-5.672833809256554,16.848636302351952,0.023086637,,,,,
180.0,20480,13.819690704345703,,,,,,,,,,,,,,,
,20480,,,,,,,,,,,,13.486459559999998,277,73,180.0,10
180.0,21504,14.862485885620117,100,4.533897399902344,0.0,0.2,0.36083984375,0.0003,-0.03619000774124288,-5.654647478461266,13.903469402343035,0.021124048,,,,,
180.0,22528,12.862258911132812,,,,,,,,,,,,,,,
180.0,23552,14.681062698364258,110,6.194522857666016,0.0,0.2,0.362353515625,0.0003,-0.039568355430674274,-5.651344250142574,13.88774433284998,0.023077596,,,,,
180.0,24576,13.729896545410156,,,,,,,,,,,,,,,
180.0,25600,13.823572158813477,120,4.900302410125732,0.0,0.2,0.30810546875,0.0003,-0.037376756391313395,-5.613378904759884,13.833285561203956,0.020425577,,,,,
180.0,26624,14.892621994018555,,,,,,,,,,,,,,,
180.0,27648,14.073522567749023,130,5.132492542266846,0.0,0.2,0.281591796875,0.0003,-0.033838495747477285,-5.5946092993021015,15.028003072738647,0.02100952,,,,,
180.0,28672,14.24718189239502,,,,,,,,,,,,,,,
180.0,29696,13.648519515991211,140,11.719098091125488,0.0,0.2,0.33212890625,0.0003,-0.03406724953529192,-5.564033500850201,15.83502294421196,0.022144454,,,,,
180.0,30720,13.450206756591797,,,,,,,,,,,,,,,
180.0,31744,13.632144927978516,150,14.532662391662598,0.0,0.2,0.356884765625,0.0003,-0.03839200359798269,-5.567232275009156,16.54092853218317,0.022444237,,,,,
180.0,32768,14.25197982788086,,,,,,,,,,,,,,,
180.0,33792,14.115625381469727,160,8.371991157531738,-1.1920928955078125e-07,0.2,0.374462890625,0.0003,-0.039054454582219476,-5.536210361123085,14.188830089569091,0.02124932,,,,,
180.0,34816,14.561124801635742,,,,,,,,,,,,,,,
180.0,35840,14.293301582336426,170,6.173144817352295,0.0,0.2,0.333984375,0.0003,-0.036816854309290645,-5.5003576338291165,12.911441312730313,0.020306371,,,,,
180.0,36864,14.882026672363281,,,,,,,,,,,,,,,
180.0,37888,14.255300521850586,180,5.757155895233154,0.0,0.2,0.376904296875,0.0003,-0.0390674098598538,-5.460862636566162,12.32923408076167,0.022195235,,,,,
180.0,38912,14.303112983703613,,,,,,,,,,,,,,,
180.0,39936,15.468160629272461,190,4.048308372497559,1.1920928955078125e-07,0.2,0.378466796875,0.0003,-0.0376271811517654,-5.442306578159332,16.584954001009464,0.023379244,,,,,
180.0,40960,14.71530818939209,,,,,,,,,,,,,,,
,40960,,,,,,,,,,,,14.14726188,281,145,180.0,20
180.0,41984,14.281163215637207,200,7.529376983642578,0.0,0.2,0.3353515625,0.0003,-0.03336538074654527,-5.401790644228458,14.003796035051346,0.020593267,,,,,
180.0,43008,15.954328536987305,,,,,,,,,,,,,,,
180.0,44032,15.224573135375977,210,9.578826904296875,0.0,0.2,0.351220703125,0.0003,-0.03656142746549449,-5.372409558296203,13.805460608005523,0.021210846,,,,,
180.0,45056,15.449352264404297,,,,,,,,,,,,,,,
180.0,46080,15.072168350219727,220,7.53990364074707,5.960464477539063e-08,0.2,0.328271484375,0.0003,-0.03352562566724373,-5.322649231553077,15.268748332560062,0.022250239,,,,,
180.0,47104,15.191160202026367,,,,,,,,,,,,,,,
180.0,48128,15.58409309387207,230,4.912487506866455,1.1920928955078125e-07,0.2,0.35791015625,0.0003,-0.03769973021117039,-5.313217335939408,13.34096718430519,0.02118172,,,,,
180.0,49152,16.19945526123047,,,,,,,,,,,,,,,
180.0,50176,15.862911224365234,240,7.331831455230713,-4.0411949157714844e-05,0.2,0.3017578125,0.0003,-0.032493211106339,-5.251376432180405,15.26627712547779,0.020030117,,,,,
180.0,51200,16.730907440185547,,,,,,,,,,,,,,,
180.0,52224,15.880980491638184,250,9.971169471740723,0.0,0.2,0.3203125,0.0003,-0.030926986824488266,-5.1945943757891655,15.346110202372074,0.019736659,,,,,
180.0,53248,16.50988006591797,,,,,,,,,,,,,,,
180.0,54272,16.158123016357422,260,7.708353042602539,0.0,0.2,0.36494140625,0.0003,-0.03247511462541297,-5.075546047091484,12.683459360152483,0.021070445,,,,,
180.0,55296,15.166601181030273,,,,,,,,,,,,,,,
180.0,56320,16.79256248474121,270,5.274025917053223,0.0,0.2,0.294775390625,0.0003,-0.0304681009700289,-5.0268938601016995,13.974197049438953,0.019218124,,,,,
180.0,57344,17.671751022338867,,,,,,,,,,,,,,,
180.0,58368,16.342975616455078,280,11.034811973571777,0.0,0.2,0.340087890625,0.0003,-0.03372698859020602,-4.994282673299312,17.153940278291703,0.020759854,,,,,
180.0,59392,17.599876403808594,,,,,,,,,,,,,,,
180.0,60416,17.199462890625,290,7.228476524353027,0.0,0.2,0.3130859375,0.0003,-0.030223712194128893,-4.966524492204189,12.570313535630703,0.018875938,,,,,
180.0,61440,16.049055099487305,,,,,,,,,,,,,,,
,61440,,,,,,,,,,,,16.318985310000002,277,221,180.0,30
180.0,62464,15.149230003356934,300,9.60959243774414,0.0,0.2,0.313134765625,0.0003,-0.03223504654597491,-4.981165046989918,16.864845535159112,0.020751782,,,,,
180.0,63488,17.928857803344727,,,,,,,,,,,,,,,
180.0,64512,17.667922973632812,310,7.983550071716309,0.0,0.2,0.278662109375,0.0003,-0.027947783248964696,-4.9835608214139935,14.974589435756206,0.020948771,,,,,
180.0,65536,16.670412063598633,,,,,,,,,,,,,,,
180.0,66560,16.881752014160156,320,8.988863945007324,1.1920928955078125e-07,0.2,0.2986328125,0.0003,-0.0291645396995591,-4.931089547276497,15.73298221975565,0.018380247,,,,,
180.0,67584,17.21894073486328,,,,,,,,,,,,,,,
180.0,68608,17.619869232177734,330,7.76515531539917,5.960464477539063e-08,0.2,0.301904296875,0.0003,-0.03102184644085355,-4.954755312204361,12.475955103337764,0.020322617,,,,,
180.0,69632,17.272964477539062,,,,,,,,,,,,,,,
180.0,70656,16.761085510253906,340,10.444823265075684,1.1920928955078125e-07,0.2,0.347265625,0.0003,-0.03454309237131383,-4.946671414375305,15.26716077774763,0.022316093,,,,,
180.0,71680,15.948570251464844,,,,,,,,,,,,,,,
180.0,72704,18.15111541748047,350,6.695634365081787,0.0,0.2,0.325341796875,0.0003,-0.029831203749927225,-4.850420759618283,17.002505695819856,0.02057726,,,,,
180.0,73728,18.612560272216797,,,,,,,,,,,,,,,
180.0,74752,18.289405822753906,360,6.160059928894043,2.384185791015625e-07,0.2,0.2810546875,0.0003,-0.027104949460772333,-4.861912213265896,18.052266450226305,0.019519622,,,,,
180.0,75776,17.754192352294922,,,,,,,,,,,,,,,
180.0,76800,18.207008361816406,370,3.58450984954834,0.0,0.2,0.28603515625,0.0003,-0.02985078427591361,-4.805617754161358,12.80267305970192,0.018429078,,,,,
180.0,77824,18.462018966674805,,,,,,,,,,,,,,,
180.0,78848,17.6429443359375,380,8.880757331848145,0.0,0.2,0.29677734375,0.0003,-0.02875499930960359,-4.807047939300537,19.450132121145725,0.020017162,,,,,
180.0,79872,20.056875228881836,,,,,,,,,,,,,,,
180.0,80896,19.71761131286621,390,11.768899917602539,0.0,0.2,0.293212890625,0.0003,-0.028493299501133152,-4.805482822656631,15.457791559398174,0.020502511,,,,,
180.0,81920,18.634410858154297,,,,,,,,,,,,,,,
,81920,,,,,,,,,,,,18.018743240000003,272,300,180.0,40
180.0,82944,20.3894100189209,400,6.654217720031738,0.0,0.2,0.246923828125,0.0003,-0.026104230781493244,-4.74544079452753,17.239926102757455,0.01799912,,,,,
180.0,83968,19.07931900024414,,,,,,,,,,,,,,,
180.0,84992,20.96487808227539,410,14.059273719787598,0.0,0.2,0.297314453125,0.0003,-0.02608422232297016,-4.689791338145733,17.561996015906335,0.018155146,,,,,
180.0,86016,19.007980346679688,,,,,,,,,,,,,,,
180.0,87040,17.088756561279297,420,12.661517143249512,-1.1920928955078125e-07,0.2,0.278564453125,0.0003,-0.026353584081516602,-4.7553526416420935,15.269216193258762,0.018933855,,,,,
180.0,88064,19.270572662353516,,,,,,,,,,,,,,,
180.0,89088,22.028575897216797,430,8.80496883392334,-1.1920928955078125e-07,0.2,0.2984375,0.0003,-0.03100381039039348,-4.67481891810894,16.92855158299208,0.018499253,,,,,
180.0,90112,20.71274757385254,,,,,,,,,,,,,,,
180.0,91136,21.663509368896484,440,6.770427703857422,5.960464477539063e-08,0.2,0.272900390625,0.0003,-0.024867441320384386,-4.645311851799488,15.073858626186848,0.01869928,,,,,
180.0,92160,21.326019287109375,,,,,,,,,,,,,,,
180.0,93184,20.203994750976562,450,8.958399772644043,0.0,0.2,0.23095703125,0.0003,-0.022735698758333457,-4.592346665263176,16.244198942184447,0.016668797,,,,,
180.0,94208,20.43160629272461,,,,,,,,,,,,,,,
180.0,95232,22.530229568481445,460,8.583518981933594,1.1920928955078125e-07,0.2,0.2990234375,0.0003,-0.029127055537537673,-4.606592927873135,18.47722064703703,0.018928949,,,,,
180.0,96256,20.477413177490234,,,,,,,,,,,,,,,
180.0,97280,22.034820556640625,470,6.6097517013549805,0.0,0.2,0.309375,0.0003,-0.025658184741041624,-4.536477968096733,13.985396145284176,0.017971234,,,,,
180.0,98304,22.094486236572266,,,,,,,,,,,,,,,
180.0,99328,23.748992919921875,480,6.630264759063721,1.1920928955078125e-07,0.2,0.278466796875,0.0003,-0.02713251350505743,-4.489551316201687,18.21361111998558,0.018706014,,,,,
180.0,100352,20.691253662109375,,,,,,,,,,,,,,,
180.0,101376,21.070093154907227,490,9.084644317626953,0.0,0.2,0.3037109375,0.0003,-0.027855143588385544,-4.495776227116584,17.65126288831234,0.019967284,,,,,
180.0,102400,22.578773498535156,,,,,,,,,,,,,,,
,102400,,,,,,,,,,,,20.77178192,264,386,180.0,50
180.0,103424,22.71791648864746,500,4.973027229309082,0.0,0.2,0.30146484375,0.0003,-0.02891517976677278,-4.4750708669424055,15.951291662454604,0.021527044,,,,,
180.0,104448,23.689300537109375,,,,,,,,,,,,,,,
180.0,105472,21.143672943115234,510,5.3346171379089355,0.0,0.2,0.265869140625,0.0003,-0.025819324352778495,-4.451694643497467,16.400612142682075,0.019172307,,,,,
180.0,106496,23.067092895507812,,,,,,,,,,,,,,,
180.0,107520,24.986454010009766,520,5.8411407470703125,0.0,0.2,0.287548828125,0.0003,-0.02766400262626121,-4.4013323619961735,16.838304288685322,0.021220393,,,,,
180.0,108544,22.926870346069336,,,,,,,,,,,,,,,
180.0,109568,22.987276077270508,530,7.852120876312256,0.0,0.2,0.290771484375,0.0003,-0.026972490915068193,-4.36143881380558,15.901937110722065,0.020326827,,,,,
180.0,110592,24.199687957763672,,,,,,,,,,,,,,,
180.0,111616,25.459503173828125,540,12.73444938659668,-1.1920928955078125e-07,0.2,0.230029296875,0.0003,-0.02312246349756606,-4.296314597129822,14.889649656414985,0.018061573,,,,,
180.0,112640,23.591320037841797,,,,,,,,,,,,,,,
180.0,113664,25.152179718017578,550,8.055463790893555,2.384185791015625e-07,0.2,0.246044921875,0.0003,-0.022875338638550603,-4.229641264677047,17.148256346583366,0.017082933,,,,,
180.0,114688,25.553035736083984,,,,,,,,,,,,,,,
180.0,115712,25.40226173400879,560,7.800825595855713,0.0,0.2,0.26435546875,0.0003,-0.024706776864331915,-4.1763449758291245,17.54320333003998,0.020456932,,,,,
180.0,116736,26.710243225097656,,,,,,,,,,,,,,,
180.0,117760,26.481719970703125,570,10.302700996398926,0.0,0.2,0.3017578125,0.0003,-0.027390574706805636,-4.156154254078865,16.200603076815604,0.018731654,,,,,
180.0,118784,25.103534698486328,,,,,,,,,,,,,,,
180.0,119808,28.407102584838867,580,8.656399726867676,0.0,0.2,0.284326171875,0.0003,-0.028509630617918447,-4.076843865215778,15.61136802881956,0.01885427,,,,,
180.0,120832,25.876129150390625,,,,,,,,,,,,,,,
180.0,121856,26.831317901611328,590,7.670202255249023,1.1920928955078125e-07,0.2,0.24228515625,0.0003,-0.02409465336240828,-4.0441778495907785,17.005873948335648,0.017862786,,,,,
180.0,122880,25.157611846923828,,,,,,,,,,,,,,,
,122880,,,,,,,,,,,,25.400853299999998,259,473,180.0,60
180.0,123904,28.63282012939453,600,8.377462387084961,0.0,0.2,0.287060546875,0.0003,-0.02647430005163187,-3.9406368590891363,17.685225489735604,0.019089384,,,,,
180.0,124928,31.18596649169922,,,,,,,,,,,,,,,
