eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/clip_fraction,train/loss,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/n_updates,train/learning_rate,train/clip_range,train/value_loss,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations
50.0,286904,32.842628479003906,0.05234375,30806.26953125,-0.0051688685969566,-2.3025133304297922,0.0,0.012234589,1400,0.0003,0.2,57624.27130126953,,,,,
50.0,287404,32.51927947998047,,,,,,,,,,,,,,,
50.0,287904,32.92028045654297,,,,,,,,,,,,,,,
50.0,288404,33.30204772949219,,,,,,,,,,,,,,,
50.0,288904,32.32199478149414,0.023388671875,27869.853515625,-0.0021183372984523883,-2.296032263338566,-1.1920928955078125e-07,0.0078119244,1410,0.0003,0.2,56311.054748535156,,,,,
50.0,289404,33.403045654296875,,,,,,,,,,,,,,,
50.0,289904,29.289323806762695,,,,,,,,,,,,,,,
50.0,290404,31.653278350830078,,,,,,,,,,,,,,,
50.0,290904,31.507171630859375,0.06416015625,28354.048828125,-0.005752323113847524,-2.32499737739563,-1.1920928955078125e-07,0.011992923,1420,0.0003,0.2,56714.81181640625,,,,,
50.0,291404,26.16910171508789,,,,,,,,,,,,,,,
50.0,291904,30.41090202331543,,,,,,,,,,,,,,,
50.0,292404,32.1607780456543,,,,,,,,,,,,,,,
,292864,,,,,,,,,,,,50.0,661,1295.95451036,61,20
50.0,292904,30.236120223999023,0.03349609375,28667.7265625,-0.0036584731191396714,-2.323326823115349,0.0,0.011188223,1430,0.0003,0.2,58791.37655029297,,,,,
50.0,293404,31.680706024169922,,,,,,,,,,,,,,,
50.0,293904,32.96168518066406,,,,,,,,,,,,,,,
50.0,294404,29.113075256347656,,,,,,,,,,,,,,,
50.0,294904,30.556411743164062,,,,,,,,,,,,,,,
50.0,295404,32.67919921875,0.081591796875,27018.23046875,-0.00725272937270347,-2.2946836657822134,0.0,0.01355117,1440,0.0003,0.2,54936.320324707034,,,,,
50.0,295904,32.17383575439453,,,,,,,,,,,,,,,
50.0,296404,30.68331527709961,,,,,,,,,,,,,,,
50.0,296904,29.618244171142578,,,,,,,,,,,,,,,
50.0,297404,31.69817352294922,0.08896484375,26091.466796875,-0.008445901644881815,-2.3155437052249908,0.0,0.014194945,1450,0.0003,0.2,55413.842248535155,,,,,
50.0,297904,33.317169189453125,,,,,,,,,,,,,,,
50.0,298404,31.01116180419922,,,,,,,,,,,,,,,
50.0,298904,29.576828002929688,,,,,,,,,,,,,,,
50.0,299404,30.547260284423828,0.074462890625,25792.794921875,-0.007174177098204382,-2.3003257386386395,0.0,0.01294429,1460,0.0003,0.2,57069.651171875,,,,,
50.0,299904,31.885639190673828,,,,,,,,,,,,,,,
50.0,300404,30.59518051147461,,,,,,,,,,,,,,,
50.0,300904,33.16691970825195,,,,,,,,,,,,,,,
50.0,301404,31.589656829833984,0.083447265625,26310.703125,-0.007517802789516281,-2.278158200532198,0.0,0.015051886,1470,0.0003,0.2,53051.15881347656,,,,,
50.0,301904,32.817317962646484,,,,,,,,,,,,,,,
50.0,302404,32.912200927734375,,,,,,,,,,,,,,,
50.0,302904,31.416812896728516,,,,,,,,,,,,,,,
50.0,303404,30.33940315246582,0.065087890625,27462.66796875,-0.005716027936432511,-2.245089790970087,0.0,0.012549847,1480,0.0003,0.2,55878.53343505859,,,,,
50.0,303904,32.613426208496094,,,,,,,,,,,,,,,
50.0,304404,33.73938751220703,,,,,,,,,,,,,,,
50.0,304904,32.069976806640625,,,,,,,,,,,,,,,
50.0,305404,32.23459243774414,0.0701171875,23650.5234375,-0.006042202451499179,-2.245924840867519,0.0,0.013415271,1490,0.0003,0.2,53147.316467285156,,,,,
50.0,305904,32.34187316894531,,,,,,,,,,,,,,,
50.0,306404,31.996145248413086,,,,,,,,,,,,,,,
50.0,306904,31.233509063720703,,,,,,,,,,,,,,,
50.0,307404,28.84204864501953,0.04267578125,24234.970703125,-0.0041012197209056465,-2.2586068756878377,0.0,0.0103630815,1500,0.0003,0.2,51928.16599121094,,,,,
50.0,307904,32.65370178222656,,,,,,,,,,,,,,,
50.0,308404,31.326988220214844,,,,,,,,,,,,,,,
50.0,308904,33.884674072265625,,,,,,,,,,,,,,,
50.0,309404,31.7193603515625,0.15849609375,28177.62109375,-0.014377291713026352,-2.2931839875876903,0.0,0.018276576,1510,0.0003,0.2,54673.755053710935,,,,,
50.0,309904,31.18698501586914,,,,,,,,,,,,,,,
50.0,310404,29.60406494140625,,,,,,,,,,,,,,,
50.0,310904,31.572519302368164,,,,,,,,,,,,,,,
50.0,311404,32.325904846191406,0.06875,24778.12890625,-0.006673399622377474,-2.303763526678085,0.0,0.01587924,1520,0.0003,0.2,52441.05463867188,,,,,
50.0,311904,30.552711486816406,,,,,,,,,,,,,,,
50.0,312404,30.830917358398438,,,,,,,,,,,,,,,
50.0,312904,33.23722839355469,,,,,,,,,,,,,,,
,313344,,,,,,,,,,,,50.0,762,1287.63156268,80,30
50.0,313404,32.804779052734375,0.06611328125,29283.830078125,-0.0055908835463924335,-2.3074361942708492,0.0,0.011291811,1530,0.0003,0.2,52766.01157226563,,,,,
50.0,313904,30.917510986328125,,,,,,,,,,,,,,,
50.0,314404,33.317264556884766,,,,,,,,,,,,,,,
50.0,314904,31.357332229614258,,,,,,,,,,,,,,,
50.0,315404,32.54783630371094,0.045654296875,27047.0078125,-0.0044058400409994645,-2.3122993670403957,0.0,0.011417164,1540,0.0003,0.2,51263.73721923828,,,,,
50.0,315904,29.449188232421875,,,,,,,,,,,,,,,
50.0,316404,32.55625534057617,,,,,,,,,,,,,,,
50.0,316904,31.048561096191406,,,,,,,,,,,,,,,
50.0,317404,33.063682556152344,,,,,,,,,,,,,,,
50.0,317904,29.82854652404785,0.06484375,25098.71875,-0.005698178250167984,-2.3127699427306654,0.0,0.012562462,1550,0.0003,0.2,49531.80252685547,,,,,
50.0,318404,30.063560485839844,,,,,,,,,,,,,,,
50.0,318904,32.703548431396484,,,,,,,,,,,,,,,
50.0,319404,28.835521697998047,,,,,,,,,,,,,,,
50.0,319904,32.270164489746094,0.069091796875,22078.3515625,-0.0066061247372999786,-2.312295652925968,0.0,0.014132352,1560,0.0003,0.2,50522.87572021484,,,,,
50.0,320404,28.72263526916504,,,,,,,,,,,,,,,
50.0,320904,31.83470916748047,,,,,,,,,,,,,,,
50.0,321404,30.740009307861328,,,,,,,,,,,,,,,
50.0,321904,30.345294952392578,0.075634765625,24732.07421875,-0.007585015037329867,-2.310846670717001,0.0,0.014975518,1570,0.0003,0.2,52575.930212402345,,,,,
50.0,322404,30.390457153320312,,,,,,,,,,,,,,,
50.0,322904,29.154521942138672,,,,,,,,,,,,,,,
50.0,323404,30.318191528320312,,,,,,,,,,,,,,,
50.0,323904,30.47988510131836,0.075146484375,25204.328125,-0.00663158707175171,-2.310597700625658,0.0,0.014646494,1580,0.0003,0.2,51176.128405761716,,,,,
50.0,324404,31.79498291015625,,,,,,,,,,,,,,,
50.0,324904,32.90883255004883,,,,,,,,,,,,,,,
50.0,325404,31.769241333007812,,,,,,,,,,,,,,,
50.0,325904,32.67308044433594,0.116845703125,23573.5859375,-0.010782790757366456,-2.30981909558177,0.0,0.013800755,1590,0.0003,0.2,51876.83621826172,,,,,
50.0,326404,29.64132308959961,,,,,,,,,,,,,,,
50.0,326904,31.859182357788086,,,,,,,,,,,,,,,
50.0,327404,33.99415588378906,,,,,,,,,,,,,,,
