eval/mean_reward,eval/mean_ep_length,time/total_timesteps,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/approx_kl,train/value_loss,train/clip_range,train/explained_variance,train/loss,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed
34.71202850341797,27.0,1024,,,,,,,,,,,,,,,
36.248558044433594,27.0,2048,,,,,,,,,,,,,,,
37.511573791503906,27.0,3072,0.0003,-5.862751741707325,-0.08688317176420242,10,0.445263671875,0.07365585,76.21871123313903,0.2,0.0008342862129211426,30.56857681274414,,,,,
34.33782196044922,27.0,4096,,,,,,,,,,,,,,,
35.33692169189453,27.0,5120,0.0003,-5.841797381639481,-0.0662286073435098,20,0.2947265625,0.03259641,97.87130889892578,0.2,-2.0265579223632812e-06,41.08515548706055,,,,,
37.402530670166016,27.0,6144,,,,,,,,,,,,,,,
38.01033020019531,27.0,7168,0.0003,-5.826883462071419,-0.07043756135972216,30,0.289794921875,0.03195806,88.51459373235703,0.2,0.0,28.253496170043945,,,,,
42.73522186279297,27.0,8192,,,,,,,,,,,,,,,
44.558250427246094,27.0,9216,0.0003,-5.8172953262925144,-0.0674765519448556,40,0.33603515625,0.037303798,88.19860845804214,0.2,0.0,26.509218215942383,,,,,
39.95631408691406,27.0,10240,,,,,,,,,,,,,,,
39.515953063964844,27.0,11264,0.0003,-5.800399163365364,-0.07017046752152964,50,0.365771484375,0.0445116,75.0219530582428,0.2,0.0,21.108722686767578,,,,,
39.69349670410156,27.0,12288,,,,,,,,,,,,,,,
41.25496292114258,27.0,13312,0.0003,-5.770605289936066,-0.06561592601938174,60,0.40859375,0.048848495,64.94060779809952,0.2,0.0,28.258638381958008,,,,,
37.10773468017578,27.0,14336,,,,,,,,,,,,,,,
35.41442108154297,27.0,15360,0.0003,-5.749835042655468,-0.06731511647813022,70,0.37490234375,0.051657327,54.98507914543152,0.2,0.0,18.422325134277344,,,,,
36.055599212646484,27.0,16384,,,,,,,,,,,,,,,
35.808937072753906,27.0,17408,0.0003,-5.735382276773453,-0.05911251070792787,80,0.3880859375,0.049039032,52.23146023750305,0.2,0.0,21.232852935791016,,,,,
35.921844482421875,27.0,18432,,,,,,,,,,,,,,,
35.22737503051758,27.0,19456,0.0003,-5.734313513338566,-0.06582880943315103,90,0.38076171875,0.04588646,52.74191961288452,0.2,0.0,21.62136459350586,,,,,
35.85869598388672,27.0,20480,,,,,,,,,,,,,,,
,,20480,,,,,,,,,,,10,36.89524247,290,27.0,70
31.786346435546875,27.0,21504,0.0003,-5.749033057689667,-0.06040268611395731,100,0.343310546875,0.042393673,47.40047248005867,0.2,-1.1920928955078125e-07,16.69388771057129,,,,,
34.698097229003906,27.0,22528,,,,,,,,,,,,,,,
38.661231994628906,27.0,23552,0.0003,-5.713974314928055,-0.05879122361075133,110,0.38486328125,0.046658583,38.92762477397919,0.2,0.0,16.62639617919922,,,,,
38.69445037841797,27.0,24576,,,,,,,,,,,,,,,
36.7630729675293,27.0,25600,0.0003,-5.719149060547352,-0.05620759885641746,120,0.379443359375,0.04483281,41.4219628572464,0.2,0.0,16.276308059692383,,,,,
35.409088134765625,27.0,26624,,,,,,,,,,,,,,,
33.436866760253906,27.0,27648,0.0003,-5.701791110634804,-0.05288375986274332,130,0.3962890625,0.046949323,36.543873202800754,0.2,0.0,21.42601776123047,,,,,
35.2303352355957,27.0,28672,,,,,,,,,,,,,,,
33.255165100097656,27.0,29696,0.0003,-5.683100697398186,-0.0588653078477364,140,0.391357421875,0.04674585,34.43604748249054,0.2,0.0,19.085050582885742,,,,,
38.41607666015625,27.0,30720,,,,,,,,,,,,,,,
40.03422546386719,27.0,31744,0.0003,-5.669536978006363,-0.05653761580470018,150,0.423388671875,0.04924073,42.32362118959427,0.2,0.0,17.03432273864746,,,,,
39.917850494384766,27.0,32768,,,,,,,,,,,,,,,
37.92900085449219,27.0,33792,0.0003,-5.6350586518645285,-0.059704862599028276,160,0.43603515625,0.056210585,39.55779023766517,0.2,1.1920928955078125e-07,12.525106430053711,,,,,
